category,jurisdiction,financial_year,value
,NSW,2019-20,0
,NSW,2020-21,0
,NSW,2021-22,0
,NSW,2022-23,0
,NSW,2023-24,0
,VIC,2019-20,0
,VIC,2020-21,0
,VIC,2021-22,0
,VIC,2022-23,0
,VIC,2023-24,0
,QLD,2019-20,80
,QLD,2020-21,83
,QLD,2021-22,83
,QLD,2022-23,90
,QLD,2023-24,99
,SA,2019-20,5
,SA,2020-21,4
,SA,2021-22,4
,SA,2022-23,4
,SA,2023-24,5
,WA,2019-20,4
,WA,2020-21,3
,WA,2021-22,2
,WA,2022-23,2
,WA,2023-24,2
,TAS,2019-20,8
,TAS,2020-21,6
,TAS,2021-22,6
,TAS,2022-23,7
,TAS,2023-24,9
,NT,2019-20,2
,NT,2020-21,2
,NT,2021-22,0
,NT,2022-23,0
,NT,2023-24,0
,ACT,2019-20,7
,ACT,2020-21,4
,ACT,2021-22,23
,ACT,2022-23,27
,ACT,2023-24,41
,Aus Gov,2019-20,12
,Aus Gov,2020-21,14
,Aus Gov,2021-22,12
,Aus Gov,2022-23,14
,Aus Gov,2023-24,15
,Seacare,2019-20,1
,Seacare,2020-21,0.7
,Seacare,2021-22,0.7
,Seacare,2022-23,1
,Seacare,2023-24,1
,AUST,2019-20,119
,AUST,2020-21,116.7
,AUST,2021-22,130.7
,AUST,2022-23,145
,AUST,2023-24,172
