category,jurisdiction,financial_year,value
,NSW,2018-19,2420
,NSW,2019-20,2482
,NSW,2020-21,2815
,NSW,2021-22,4382
,NSW,2022-23,4023
,NSW,2023-24p,4486
,VIC,2018-19,1300
,VIC,2019-20,1265
,VIC,2020-21,1106
,VIC,2021-22,1119
,VIC,2022-23,1226
,VIC,2023-24p,977
,QLD,2018-19,1741
,QLD,2019-20,1771
,QLD,2020-21,1885
,QLD,2021-22,1917
,QLD,2022-23,2151
,QLD,2023-24p,2792
,SA,2018-19,2405
,SA,2019-20,2373
,SA,2020-21,2641
,SA,2021-22,2186
,SA,2022-23,2089
,SA,2023-24p,1903
,WA,2018-19,833
,WA,2019-20,799
,WA,2020-21,961
,WA,2021-22,932
,WA,2022-23,989
,WA,2023-24p,1025
,TAS,2018-19,732
,TAS,2019-20,734
,TAS,2020-21,734
,TAS,2021-22,811
,TAS,2022-23,800
,TAS,2023-24p,852
,NT,2018-19,267
,NT,2019-20,271
,NT,2020-21,230
,NT,2021-22,233
,NT,2022-23,245
,NT,2023-24p,190
,ACT,2018-19,284
,ACT,2019-20,316
,ACT,2020-21,424
,ACT,2021-22,356
,ACT,2022-23,345
,ACT,2023-24p,350
,Aus Gov,2018-19,1398
,Aus Gov,2019-20,1482
,Aus Gov,2020-21,1664
,Aus Gov,2021-22,1712
,Aus Gov,2022-23,1686
,Aus Gov,2023-24p,1819
,AUST Total,2018-19,11380
,AUST Total,2019-20,11493
,AUST Total,2020-21,12460
,AUST Total,2021-22,13648
,AUST Total,2022-23,13554
,AUST Total,2023-24p,14394
