category,jurisdiction,financial_year,value
,NSW,2018-19,0.7641880291247203
,NSW,2019-20,1.092039657962101
,NSW,2020-21,0.8122784344734406
,NSW,2021-22,0.6352708898598269
,NSW,2022-23,0.8991807327929651
,NSW,2023-24p,0.7441394222574039
,VIC,2018-19,0.7796774265196988
,VIC,2019-20,0.924287544297692
,VIC,2020-21,0.6044002796305804
,VIC,2021-22,0.9270105561452068
,VIC,2022-23,0.5018991323356685
,VIC,2023-24p,0.5397741796809103
,QLD,2018-19,1.6178354136827688
,QLD,2019-20,1.1500654820510552
,QLD,2020-21,0.6934369135296247
,QLD,2021-22,1.0274925422844308
,QLD,2022-23,1.4495212975546337
,QLD,2023-24p,1.200427639181938
,SA,2018-19,0.7022298345029865
,SA,2019-20,0.4685913303176879
,SA,2020-21,1.1528219878991626
,SA,2021-22,0.9957648993495993
,SA,2022-23,0.6420526918507327
,SA,2023-24p,1.0517129835699
,WA,2018-19,0.8800883417497237
,WA,2019-20,1.1646324512498734
,WA,2020-21,1.2098727589990552
,WA,2021-22,1.2770277631247637
,WA,2022-23,1.1729502394487257
,WA,2023-24p,0.874962336423294
,TAS,2018-19,0.7818512301595869
,TAS,2019-20,2.6969777903044956
,TAS,2020-21,1.1152862743671064
,TAS,2021-22,1.7868111491260967
,TAS,2022-23,0.7007043733191126
,TAS,2023-24p,0.3514893365138658
,NT,2018-19,2.2001803143097574
,NT,2019-20,4.453652642358999
,NT,2020-21,2.9166547347559937
,NT,2021-22,2.185132994202427
,NT,2022-23,2.8380622980001435
,NT,2023-24p,0.7009288000866943
,ACT,2018-19,0.4149771956292246
,ACT,2019-20,0.8027218614845447
,ACT,2020-21,0
,ACT,2021-22,0.3900393363401182
,ACT,2022-23,0
,ACT,2023-24p,0.7268942870834024
,AUST Total,2018-19,0.9548699244749249
,AUST Total,2019-20,1.0880151743997515
,AUST Total,2020-21,0.813730125313234
,AUST Total,2021-22,0.9223887984909567
,AUST Total,2022-23,0.9196331673412721
,AUST Total,2023-24p,0.8106929302529298
