category,jurisdiction,financial_year,value
,NSW,2019-20,22629
,NSW,2020-21,27202
,NSW,2021-22,37172
,NSW,2022-23,22970
,NSW,2023-24,23366
,VIC,2019-20,23861
,VIC,2020-21,17629
,VIC,2021-22,16300
,VIC,2022-23,19228
,VIC,2023-24,19457
,QLD,2019-20,24225
,QLD,2020-21,19150
,QLD,2021-22,13208
,QLD,2022-23,11698
,QLD,2023-24,11411
,SA,2019-20,2071
,SA,2020-21,2016
,SA,2021-22,1311
,SA,2022-23,1882
,SA,2023-24,2751
,WA,2019-20,4475
,WA,2020-21,6027
,WA,2021-22,4208
,WA,2022-23,2528
,WA,2023-24,2254
,TAS,2019-20,2137
,TAS,2020-21,3444
,TAS,2021-22,4198
,TAS,2022-23,2700
,TAS,2023-24,1997
,NT,2019-20,556
,NT,2020-21,848
,NT,2021-22,1908
,NT,2022-23,1667
,NT,2023-24,2124
,ACT,2019-20,1480
,ACT,2020-21,1531
,ACT,2021-22,2477
,ACT,2022-23,2765
,ACT,2023-24,1926
,Aus Gov,2019-20,3053
,Aus Gov,2020-21,2696
,Aus Gov,2021-22,1943
,Aus Gov,2022-23,1171
,Aus Gov,2023-24,1426
,Seacare,2019-20,102
,Seacare,2020-21,110
,Seacare,2021-22,82
,Seacare,2022-23,127
,Seacare,2023-24,92
,AUST,2019-20,84589
,AUST,2020-21,80653
,AUST,2021-22,82807
,AUST,2022-23,66736
,AUST,2023-24,66804
