category,jurisdiction,financial_year,value
,NSW,2018-19,25
,NSW,2019-20,23
,NSW,2020-21,14
,NSW,2021-22,18
,NSW,2022-23,11
,NSW,2023-24p,5
,VIC,2018-19,28
,VIC,2019-20,60
,VIC,2020-21,33
,VIC,2021-22,35
,VIC,2022-23,43
,VIC,2023-24p,27
,QLD,2018-19,20
,QLD,2019-20,12
,QLD,2020-21,8
,QLD,2021-22,9
,QLD,2022-23,6
,QLD,2023-24p,4
,SA,2018-19,8
,SA,2019-20,8
,SA,2020-21,4
,SA,2021-22,1
,SA,2022-23,2
,SA,2023-24p,2
,WA,2018-19,5
,WA,2019-20,3
,WA,2020-21,4
,WA,2021-22,3
,WA,2022-23,1
,WA,2023-24p,3
,TAS,2018-19,1
,TAS,2019-20,2
,TAS,2020-21,0
,TAS,2021-22,2
,TAS,2022-23,2
,TAS,2023-24p,2
,NT,2018-19,1
,NT,2019-20,0
,NT,2020-21,0
,NT,2021-22,0
,NT,2022-23,0
,NT,2023-24p,1
,ACT,2018-19,1
,ACT,2019-20,0
,ACT,2020-21,2
,ACT,2021-22,1
,ACT,2022-23,2
,ACT,2023-24p,1
,Aus Gov,2018-19,14
,Aus Gov,2019-20,5
,Aus Gov,2020-21,22
,Aus Gov,2021-22,9
,Aus Gov,2022-23,19
,Aus Gov,2023-24p,6
,AUST Total,2018-19,103
,AUST Total,2019-20,113
,AUST Total,2020-21,87
,AUST Total,2021-22,78
,AUST Total,2022-23,86
,AUST Total,2023-24p,51
