category,jurisdiction,financial_year,value
,NSW,2019-20,153
,NSW,2020-21,101
,NSW,2021-22,80
,NSW,2022-23,79
,NSW,2023-24,95
,VIC,2019-20,87
,VIC,2020-21,67
,VIC,2021-22,109
,VIC,2022-23,139
,VIC,2023-24,147
,QLD,2019-20,42
,QLD,2020-21,77
,QLD,2021-22,71
,QLD,2022-23,52
,QLD,2023-24,80
,SA,2019-20,5
,SA,2020-21,7
,SA,2021-22,7
,SA,2022-23,9
,SA,2023-24,11
,WA,2019-20,4
,WA,2020-21,16
,WA,2021-22,16
,WA,2022-23,16
,WA,2023-24,7
,TAS,2019-20,5
,TAS,2020-21,4
,TAS,2021-22,4
,TAS,2022-23,6
,TAS,2023-24,4
,NT,2019-20,4
,NT,2020-21,4
,NT,2021-22,6
,NT,2022-23,4
,NT,2023-24,3
,ACT,2019-20,2
,ACT,2020-21,1
,ACT,2021-22,3
,ACT,2022-23,2
,ACT,2023-24,1
,Aus Gov,2019-20,2
,Aus Gov,2020-21,1
,Aus Gov,2021-22,1
,Aus Gov,2022-23,2
,Aus Gov,2023-24,0
,Seacare,2019-20,0
,Seacare,2020-21,0
,Seacare,2021-22,0
,Seacare,2022-23,0
,Seacare,2023-24,0
,AUST,2019-20,304
,AUST,2020-21,278
,AUST,2021-22,297
,AUST,2022-23,309
,AUST,2023-24,348
