category,jurisdiction,financial_year,value
,NSW,2019-20,330
,NSW,2020-21,370
,NSW,2021-22,370
,NSW,2022-23,370
,NSW,2023-24,370
,VIC,2019-20,266.75
,VIC,2020-21,293.35
,VIC,2021-22,311.5
,VIC,2022-23,362.01
,VIC,2023-24,373.13
,QLD,2019-20,249
,QLD,2020-21,240
,QLD,2021-22,245
,QLD,2022-23,239
,QLD,2023-24,270
,SA,2019-20,94
,SA,2020-21,97
,SA,2021-22,97
,SA,2022-23,97
,SA,2023-24,97
,WA,2019-20,122
,WA,2020-21,120
,WA,2021-22,132
,WA,2022-23,130
,WA,2023-24,130
,TAS,2019-20,43.5
,TAS,2020-21,48.79
,TAS,2021-22,49
,TAS,2022-23,46
,TAS,2023-24,48
,NT,2019-20,32
,NT,2020-21,29
,NT,2021-22,31
,NT,2022-23,28
,NT,2023-24,33
,ACT,2019-20,29
,ACT,2020-21,34
,ACT,2021-22,40
,ACT,2022-23,45
,ACT,2023-24,49
,Aus Gov,2019-20,52
,Aus Gov,2020-21,58.35
,Aus Gov,2021-22,64.3
,Aus Gov,2022-23,75.3
,Aus Gov,2023-24,75
,Seacare,2019-20,2
,Seacare,2020-21,2
,Seacare,2021-22,2
,Seacare,2022-23,3
,Seacare,2023-24,2
,AUST,2019-20,1220.25
,AUST,2020-21,1292.49
,AUST,2021-22,1341.8
,AUST,2022-23,1395.31
,AUST,2023-24,1447.13
