category,jurisdiction,financial_year,value
,NSW,2019-20,11821
,NSW,2020-21,12300
,NSW,2021-22,9674
,NSW,2022-23,11963
,NSW,2023-24,14276
,VIC,2019-20,24020
,VIC,2020-21,22064
,VIC,2021-22,21923
,VIC,2022-23,26268
,VIC,2023-24,31981
,QLD,2019-20,13375
,QLD,2020-21,12833
,QLD,2021-22,13008
,QLD,2022-23,13424
,QLD,2023-24,15242
,SA,2019-20,4445
,SA,2020-21,4618
,SA,2021-22,3463
,SA,2022-23,3240
,SA,2023-24,4141
,WA,2019-20,2556
,WA,2020-21,2687
,WA,2021-22,2981
,WA,2022-23,2873
,WA,2023-24,2756
,TAS,2019-20,784
,TAS,2020-21,795
,TAS,2021-22,779
,TAS,2022-23,667
,TAS,2023-24,714
,NT,2019-20,3072
,NT,2020-21,2466
,NT,2021-22,3034
,NT,2022-23,3086
,NT,2023-24,3283
,ACT,2019-20,724
,ACT,2020-21,979
,ACT,2021-22,858
,ACT,2022-23,1932
,ACT,2023-24,1179
,Aus Gov,2019-20,1480
,Aus Gov,2020-21,1632
,Aus Gov,2021-22,1430
,Aus Gov,2022-23,988
,Aus Gov,2023-24,1154
,AUST,2019-20,62277
,AUST,2020-21,60374
,AUST,2021-22,57150
,AUST,2022-23,64441
,AUST,2023-24,74726
