category,jurisdiction,financial_year,value
,NSW,2019-20,561
,NSW,2020-21,520
,NSW,2021-22,538
,NSW,2022-23,885
,NSW,2023-24,1590
,VIC,2019-20,0
,VIC,2020-21,0
,VIC,2021-22,1
,VIC,2022-23,20
,VIC,2023-24,41
,QLD,2019-20,1098
,QLD,2020-21,1132
,QLD,2021-22,920
,QLD,2022-23,881
,QLD,2023-24,899
,SA,2019-20,6
,SA,2020-21,9
,SA,2021-22,9
,SA,2022-23,16
,SA,2023-24,41
,TAS,2019-20,52
,TAS,2020-21,12
,TAS,2021-22,6
,TAS,2022-23,14
,TAS,2023-24,11
,NT,2019-20,4
,NT,2020-21,21
,NT,2021-22,33
,NT,2022-23,59
,NT,2023-24,31
,ACT,2019-20,76
,ACT,2020-21,96
,ACT,2021-22,38
,ACT,2022-23,121
,ACT,2023-24,164
,AUST,2019-20,1797
,AUST,2020-21,1790
,AUST,2021-22,1545
,AUST,2022-23,1996
,AUST,2023-24,2777
