category,jurisdiction,financial_year,value
,NSW,2019-20,2154
,NSW,2020-21,2363
,NSW,2021-22,2211
,NSW,2022-23,2889
,NSW,2023-24,3454
,VIC,2019-20,518
,VIC,2020-21,465
,VIC,2021-22,411
,VIC,2022-23,459
,VIC,2023-24,515
,QLD,2019-20,2177
,QLD,2020-21,2296
,QLD,2021-22,1754
,QLD,2022-23,1532
,QLD,2023-24,1636
,SA,2019-20,584
,SA,2020-21,614
,SA,2021-22,433
,SA,2022-23,611
,SA,2023-24,995
,WA,2019-20,177
,WA,2020-21,271
,WA,2021-22,180
,WA,2022-23,184
,WA,2023-24,148
,TAS,2019-20,103
,TAS,2020-21,102
,TAS,2021-22,136
,TAS,2022-23,196
,TAS,2023-24,185
,NT,2019-20,64
,NT,2020-21,126
,NT,2021-22,152
,NT,2022-23,113
,NT,2023-24,118
,ACT,2019-20,373
,ACT,2020-21,459
,ACT,2021-22,405
,ACT,2022-23,675
,ACT,2023-24,665
,Aus Gov,2019-20,1
,Aus Gov,2020-21,10
,Aus Gov,2021-22,4
,Aus Gov,2022-23,9
,Aus Gov,2023-24,4
,Seacare,2019-20,0
,Seacare,2020-21,1
,Seacare,2021-22,1
,Seacare,2022-23,1
,Seacare,2023-24,0
,AUST,2019-20,6151
,AUST,2020-21,6707
,AUST,2021-22,5687
,AUST,2022-23,6669
,AUST,2023-24,7720
