category,jurisdiction,financial_year,value
,NSW,2019-20,9303
,NSW,2020-21,9984
,NSW,2021-22,8077
,NSW,2022-23,11286
,NSW,2023-24,13362
,VIC,2019-20,13099
,VIC,2020-21,9653
,VIC,2021-22,9272
,VIC,2022-23,11469
,VIC,2023-24,13390
,QLD,2019-20,14080
,QLD,2020-21,13814
,QLD,2021-22,11388
,QLD,2022-23,9605
,QLD,2023-24,11708
,SA,2019-20,2406
,SA,2020-21,2221
,SA,2021-22,1829
,SA,2022-23,2659
,SA,2023-24,4455
,WA,2019-20,7022
,WA,2020-21,10554
,WA,2021-22,6819
,WA,2022-23,5984
,WA,2023-24,6229
,TAS,2019-20,565
,TAS,2020-21,626
,TAS,2021-22,414
,TAS,2022-23,722
,TAS,2023-24,741
,NT,2019-20,127
,NT,2020-21,302
,NT,2021-22,412
,NT,2022-23,528
,NT,2023-24,396
,ACT,2019-20,922
,ACT,2020-21,1840
,ACT,2021-22,2331
,ACT,2022-23,2441
,ACT,2023-24,1620
,Aus Gov,2019-20,7
,Aus Gov,2020-21,24
,Aus Gov,2021-22,8
,Aus Gov,2022-23,17
,Aus Gov,2023-24,14
,Seacare,2019-20,1
,Seacare,2020-21,1
,Seacare,2021-22,3
,Seacare,2022-23,0
,Seacare,2023-24,1
,AUST,2019-20,47532
,AUST,2020-21,49019
,AUST,2021-22,40553
,AUST,2022-23,44711
,AUST,2023-24,51916
