category,jurisdiction,financial_year,value
Less than 6 weeks,AUST,2018-19,0.44867909668361666
Less than 6 weeks,AUST,2019-20,0.4435680813147647
Less than 6 weeks,AUST,2020-21,0.42939076268611365
Less than 6 weeks,AUST,2021-22,0.4574978041772736
Less than 6 weeks,AUST,2022-23,0.44698312425431547
Less than 6 weeks,NSW,2018-19,0.5058921496883595
Less than 6 weeks,NSW,2019-20,0.5176577600909608
Less than 6 weeks,NSW,2020-21,0.49926989027493845
Less than 6 weeks,NSW,2021-22,0.5648671350030544
Less than 6 weeks,NSW,2022-23,0.5403691088558321
Less than 6 weeks,VIC,2018-19,0.29441145980586186
Less than 6 weeks,VIC,2019-20,0.2639883878821932
Less than 6 weeks,VIC,2020-21,0.240781794326562
Less than 6 weeks,VIC,2021-22,0.24660901628550108
Less than 6 weeks,VIC,2022-23,0.24172834566913382
Less than 6 weeks,QLD,2018-19,0.49443368828654405
Less than 6 weeks,QLD,2019-20,0.48462066598008924
Less than 6 weeks,QLD,2020-21,0.47437425506555425
Less than 6 weeks,QLD,2021-22,0.4753481012658228
Less than 6 weeks,QLD,2022-23,0.47355832336726655
Less than 6 weeks,SA,2018-19,0.4118989870166928
Less than 6 weeks,SA,2019-20,0.40134883053522746
Less than 6 weeks,SA,2020-21,0.3998636673483299
Less than 6 weeks,SA,2021-22,0.41302421736562317
Less than 6 weeks,SA,2022-23,0.4178604084120695
Less than 6 weeks,WA,2018-19,0.4110043371034952
Less than 6 weeks,WA,2019-20,0.3875303503295179
Less than 6 weeks,WA,2020-21,0.3656995788488535
Less than 6 weeks,WA,2021-22,0.35407121614018167
Less than 6 weeks,WA,2022-23,0.34368976948577595
Less than 6 weeks,TAS,2018-19,0.563603164942179
Less than 6 weeks,TAS,2019-20,0.5558641975308642
Less than 6 weeks,TAS,2020-21,0.5504347826086956
Less than 6 weeks,TAS,2021-22,0.5419481981981982
Less than 6 weeks,TAS,2022-23,0.554359243697479
Less than 6 weeks,NT,2018-19,0.4257659073055774
Less than 6 weeks,NT,2019-20,0.4559322033898305
Less than 6 weeks,NT,2020-21,0.4239036973344798
Less than 6 weeks,NT,2021-22,0.4637404580152672
Less than 6 weeks,NT,2022-23,0.49226006191950467
Less than 6 weeks,ACT,2018-19,0.46936416184971097
Less than 6 weeks,ACT,2019-20,0.4377880184331797
Less than 6 weeks,ACT,2020-21,0.4185667752442997
Less than 6 weeks,ACT,2021-22,0.42774193548387096
Less than 6 weeks,ACT,2022-23,0.43600478468899523
Less than 6 weeks,Aus Gov,2018-19,0.46020942408376964
Less than 6 weeks,Aus Gov,2019-20,0.4302151075537769
Less than 6 weeks,Aus Gov,2020-21,0.43333333333333335
Less than 6 weeks,Aus Gov,2021-22,0.43650047036688616
Less than 6 weeks,Aus Gov,2022-23,0.4246959775491113
Less than 6 weeks,Seacare,2018-19,0.1388888888888889
Less than 6 weeks,Seacare,2019-20,0.2222222222222222
Less than 6 weeks,Seacare,2020-21,0.17105263157894737
Less than 6 weeks,Seacare,2021-22,0.32608695652173914
Less than 6 weeks,Seacare,2022-23,0.2711864406779661
6 weeks or more,AUST,2018-19,0.5513209033163833
6 weeks or more,AUST,2019-20,0.5564319186852353
6 weeks or more,AUST,2020-21,0.5706092373138864
6 weeks or more,AUST,2021-22,0.5425021958227264
6 weeks or more,AUST,2022-23,0.5530168757456845
6 weeks or more,NSW,2018-19,0.49410785031164045
6 weeks or more,NSW,2019-20,0.48234223990903924
6 weeks or more,NSW,2020-21,0.5007301097250615
6 weeks or more,NSW,2021-22,0.43513286499694565
6 weeks or more,NSW,2022-23,0.45963089114416794
6 weeks or more,VIC,2018-19,0.7055885401941382
6 weeks or more,VIC,2019-20,0.7360116121178069
6 weeks or more,VIC,2020-21,0.759218205673438
6 weeks or more,VIC,2021-22,0.753390983714499
6 weeks or more,VIC,2022-23,0.7582716543308662
6 weeks or more,QLD,2018-19,0.505566311713456
6 weeks or more,QLD,2019-20,0.5153793340199108
6 weeks or more,QLD,2020-21,0.5256257449344458
6 weeks or more,QLD,2021-22,0.5246518987341772
6 weeks or more,QLD,2022-23,0.5264416766327334
6 weeks or more,SA,2018-19,0.5881010129833072
6 weeks or more,SA,2019-20,0.5986511694647726
6 weeks or more,SA,2020-21,0.6001363326516701
6 weeks or more,SA,2021-22,0.5869757826343769
6 weeks or more,SA,2022-23,0.5821395915879305
6 weeks or more,WA,2018-19,0.5889956628965048
6 weeks or more,WA,2019-20,0.6124696496704821
6 weeks or more,WA,2020-21,0.6343004211511465
6 weeks or more,WA,2021-22,0.6459287838598183
6 weeks or more,WA,2022-23,0.656310230514224
6 weeks or more,TAS,2018-19,0.43639683505782106
6 weeks or more,TAS,2019-20,0.4441358024691358
6 weeks or more,TAS,2020-21,0.44956521739130434
6 weeks or more,TAS,2021-22,0.45805180180180183
6 weeks or more,TAS,2022-23,0.44564075630252103
6 weeks or more,NT,2018-19,0.5742340926944226
6 weeks or more,NT,2019-20,0.5440677966101695
6 weeks or more,NT,2020-21,0.5760963026655203
6 weeks or more,NT,2021-22,0.5362595419847328
6 weeks or more,NT,2022-23,0.5077399380804953
6 weeks or more,ACT,2018-19,0.530635838150289
6 weeks or more,ACT,2019-20,0.5622119815668203
6 weeks or more,ACT,2020-21,0.5814332247557004
6 weeks or more,ACT,2021-22,0.572258064516129
6 weeks or more,ACT,2022-23,0.5639952153110048
6 weeks or more,Aus Gov,2018-19,0.5397905759162304
6 weeks or more,Aus Gov,2019-20,0.5697848924462231
6 weeks or more,Aus Gov,2020-21,0.5666666666666667
6 weeks or more,Aus Gov,2021-22,0.5634995296331138
6 weeks or more,Aus Gov,2022-23,0.5753040224508886
6 weeks or more,Seacare,2018-19,0.8611111111111112
6 weeks or more,Seacare,2019-20,0.7777777777777778
6 weeks or more,Seacare,2020-21,0.8289473684210527
6 weeks or more,Seacare,2021-22,0.6739130434782609
6 weeks or more,Seacare,2022-23,0.7288135593220338
12 weeks or more,AUST,2018-19,0.3896964404951461
12 weeks or more,AUST,2019-20,0.3983152927199525
12 weeks or more,AUST,2020-21,0.40783956244302644
12 weeks or more,AUST,2021-22,0.38679231238741757
12 weeks or more,AUST,2022-23,0.39320418479872554
12 weeks or more,NSW,2018-19,0.3508794064952434
12 weeks or more,NSW,2019-20,0.34171688459351907
12 weeks or more,NSW,2020-21,0.3514122408110476
12 weeks or more,NSW,2021-22,0.30117974954184484
12 weeks or more,NSW,2022-23,0.31846934519671904
