table,title,category,jurisdiction,financial_year,value
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,SA,2018-19,8.8909851720282
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,SA,2019-20,9.037506726854355
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,SA,2020-21,9.224656950692937
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,SA,2021-22,8.529509911510315
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,SA,2022-23,8.01515083473524
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,SA,2023-24p,7.668885505560458
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,WA,2018-19,9.301093315119145
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,WA,2019-20,9.090866657724645
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,WA,2020-21,9.832229233358168
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,WA,2021-22,9.470051941803465
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,WA,2022-23,9.540190215164296
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,WA,2023-24p,9.602192517854547
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,TAS,2018-19,14.50121918635311
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,TAS,2019-20,13.499534691525662
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,TAS,2020-21,14.042090057491702
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,TAS,2021-22,14.532260211303024
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,TAS,2022-23,15.080833000273046
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,TAS,2023-24p,16.219502118692137
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,NT,2018-19,9.336449842362287
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,NT,2019-20,8.889573368362765
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,NT,2020-21,8.861212266864035
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,NT,2021-22,8.220214353396457
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,NT,2022-23,7.344026121082687
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,NT,2023-24p,5.827209348893665
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,ACT,2018-19,10.279088623132468
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,ACT,2019-20,9.443721817156334
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,ACT,2020-21,9.630147599991771
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,ACT,2021-22,8.914546895866845
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,ACT,2022-23,8.685658606873366
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,ACT,2023-24p,9.552730827023705
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,Aus Gov,2018-19,4.585150725640025
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,Aus Gov,2019-20,4.70277028734447
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,Aus Gov,2020-21,4.913285783589447
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,Aus Gov,2021-22,4.1729650390047555
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,Aus Gov,2022-23,3.902573385424278
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,Aus Gov,2023-24p,3.9251413444867396
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,AUST Total,2018-19,9.611565761262726
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,AUST Total,2019-20,9.99809367205292
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,AUST Total,2020-21,10.69077972227263
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,AUST Total,2021-22,10.950847268308925
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,AUST Total,2022-23,11.157514134158935
Table 1.1,"Table 1.1. Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",,AUST Total,2023-24p,10.916191337786138
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,NSW,2018-19,6.430753063292492
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,NSW,2019-20,7.3919252766206975
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,NSW,2020-21,8.022974296404426
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,NSW,2021-22,9.252812808077435
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,NSW,2022-23,9.27310592092735
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,NSW,2023-24p,8.754826744794691
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,VIC,2018-19,4.263418352399393
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,VIC,2019-20,4.272916929166667
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,VIC,2020-21,4.47472202102204
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,VIC,2021-22,4.628830326830225
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,VIC,2022-23,4.737322108514508
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,VIC,2023-24p,4.48818723624149
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,QLD,2018-19,7.594171281140878
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,QLD,2019-20,7.72438023125303
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,QLD,2020-21,8.334919668390148
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,QLD,2021-22,8.025801023087205
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,QLD,2022-23,8.200462619395845
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,QLD,2023-24p,8.911065355135971
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,SA,2018-19,5.579534332714579
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,SA,2019-20,5.765847786439705
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,SA,2020-21,5.795286423938797
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,SA,2021-22,5.417543190730156
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,SA,2022-23,5.107660292515579
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,SA,2023-24p,4.9390928024402605
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,WA,2018-19,5.523319896327002
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,WA,2019-20,5.495425357570872
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,WA,2020-21,6.015873306150827
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,WA,2021-22,5.7604044927195766
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,WA,2022-23,5.679498702703872
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,WA,2023-24p,5.798429170071583
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,TAS,2018-19,9.58837293523024
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,TAS,2019-20,9.163902558637469
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,TAS,2020-21,9.29997194800124
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,TAS,2021-22,9.650172914888744
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,TAS,2022-23,9.94185382920078
