table,title,category,jurisdiction,financial_year,value
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Body stressing,Seacare,2021-22,0.41304347826086957
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Body stressing,Seacare,2022-23,0.3389830508474576
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Body stressing,Seacare,2023-24p,NP
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",AUST,2018-19,0.013303199958909035
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",AUST,2019-20,0.013654214243284273
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",AUST,2020-21,0.012982376177453661
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",AUST,2021-22,0.012408259270837985
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",AUST,2022-23,0.012413707491672471
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",AUST,2023-24p,0.012753919563735514
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",NSW,2018-19,0.014509576320371444
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",NSW,2019-20,0.0160318362706083
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",NSW,2020-21,0.014769076724101965
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",NSW,2021-22,0.01181658521686011
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",NSW,2022-23,0.013068260809119978
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",NSW,2023-24p,0.013066454321702621
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",VIC,2018-19,0.00857600603147677
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",VIC,2019-20,0.009739195579903544
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",VIC,2020-21,0.009862914536488259
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",VIC,2021-22,0.009262104385233309
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",VIC,2022-23,0.007601520304060812
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",VIC,2023-24p,0.008544213237398308
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",QLD,2018-19,0.014244226248098464
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",QLD,2019-20,0.014555441125986956
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",QLD,2020-21,0.013477583203447328
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",QLD,2021-22,0.014335443037974684
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",QLD,2022-23,0.01347606685529271
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",QLD,2023-24p,0.013751216049220414
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",SA,2018-19,0.011841917534598373
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",SA,2019-20,0.010187975319271058
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",SA,2020-21,0.011588275391956374
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",SA,2021-22,0.009893679858239812
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",SA,2022-23,0.0121914050594331
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",SA,2023-24p,0.009984399375975039
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",WA,2018-19,0.019134280125861044
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",WA,2019-20,0.01569545612209504
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",WA,2020-21,0.014272344408048667
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",WA,2021-22,0.01840688047584599
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",WA,2022-23,0.01742348315472978
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",WA,2023-24p,0.0196437733636297
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",TAS,2018-19,0.014303104077906269
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",TAS,2019-20,0.009567901234567902
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",TAS,2020-21,0.010724637681159421
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",TAS,2021-22,0.012105855855855855
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",TAS,2022-23,0.012867647058823529
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",TAS,2023-24p,0.013313609467455622
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",NT,2018-19,0.010997643362136685
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",NT,2019-20,0.01440677966101695
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",NT,2020-21,0.009458297506448839
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",NT,2021-22,0.015267175572519083
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",NT,2022-23,0.015479876160990712
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",NT,2023-24p,0.008928571428571428
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",ACT,2018-19,0.006936416184971098
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",ACT,2019-20,0.00576036866359447
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",ACT,2020-21,0.010857763300760043
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",ACT,2021-22,0.01096774193548387
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",ACT,2022-23,0.013157894736842105
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",ACT,2023-24p,0.006218202374222725
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",Aus Gov,2018-19,NP
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",Aus Gov,2019-20,0.00400200100050025
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",Aus Gov,2020-21,0.0027397260273972603
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",Aus Gov,2021-22,0.0051740357478833494
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",Aus Gov,2022-23,NP
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)","Heat, electricity and other environmental factors",Aus Gov,2023-24p,0.0057293962097840455
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,AUST,2018-19,0.00895440614994778
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,AUST,2019-20,0.008869051547752624
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,AUST,2020-21,0.00808264965056214
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,AUST,2021-22,0.008448334896461376
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,AUST,2022-23,0.007199950345170033
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,AUST,2023-24p,0.008098159509202453
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,NSW,2018-19,0.007040298771101971
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,NSW,2019-20,0.008186469584991472
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,NSW,2020-21,0.008052067253535817
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,NSW,2021-22,0.006013286499694563
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,NSW,2022-23,0.0058911441679410535
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,NSW,2023-24p,0.00694947155060084
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,VIC,2018-19,0.006973895014607483
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,VIC,2019-20,0.009645549468558319
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,VIC,2020-21,0.007329321811518798
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,VIC,2021-22,0.009130415697291602
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,VIC,2022-23,0.0072014402880576115
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,VIC,2023-24p,0.006704550100159437
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,QLD,2018-19,0.013518185589821602
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,QLD,2019-20,0.009131479574322005
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,QLD,2020-21,0.008557195684728462
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,QLD,2021-22,0.01069620253164557
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,QLD,2022-23,0.007525595776332293
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,QLD,2023-24p,0.009071069860384404
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,SA,2018-19,0.006705664146097874
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,SA,2019-20,0.007892093557181805
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,SA,2020-21,0.008588957055214725
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,SA,2021-22,0.008860011813349085
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,SA,2022-23,0.007619628162145687
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,SA,2023-24p,0.009048361934477379
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,WA,2018-19,0.010375031890466877
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,WA,2019-20,0.011099549080818592
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,WA,2020-21,0.008890968647636874
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,WA,2021-22,0.01286070251587493
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,WA,2022-23,0.012181019196669493
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,WA,2023-24p,0.012240709521366269
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,TAS,2018-19,0.008216676810712111
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,TAS,2019-20,0.006172839506172839
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,TAS,2020-21,0.008695652173913044
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,TAS,2021-22,0.00563063063063063
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,TAS,2022-23,0.007352941176470588
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,TAS,2023-24p,0.005917159763313609
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,NT,2018-19,0.01021209740769835
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,NT,2019-20,0.013559322033898305
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,NT,2020-21,0.008598452278589854
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,NT,2021-22,0.015267175572519083
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,NT,2022-23,0.010319917440660475
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,NT,2023-24p,0.015306122448979591
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,ACT,2018-19,0.002890173410404624
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,ACT,2019-20,0.006336405529953917
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,ACT,2020-21,0.003800217155266015
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,ACT,2021-22,0.0032258064516129032
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,ACT,2022-23,0.006578947368421052
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,ACT,2023-24p,0.007348784624081402
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,Aus Gov,2018-19,0.0062827225130890054
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,Aus Gov,2019-20,0.006003001500750375
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,Aus Gov,2020-21,0.00502283105022831
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,Aus Gov,2021-22,0.0061147695202257765
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,Aus Gov,2022-23,0.004677268475210477
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Chemicals and other substances,Aus Gov,2023-24p,0.009255178492728075
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,AUST,2018-19,0.003638262537024672
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,AUST,2019-20,0.004026136888654214
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,AUST,2020-21,0.005233971437253114
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,AUST,2021-22,0.0777097941137064
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,AUST,2022-23,0.0605857890635237
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,AUST,2023-24p,0.026632583503749148
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,NSW,2018-19,0.004340255873224154
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,NSW,2019-20,0.004025014212620808
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,NSW,2020-21,0.0021694688973257123
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,NSW,2021-22,0.18148671350030543
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,NSW,2022-23,0.13879813707771443
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,NSW,2023-24p,0.06153177935427827
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,VIC,2018-19,0.002638771086608237
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,VIC,2019-20,0.00234115278363066
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,VIC,2020-21,0.01882097452834457
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,VIC,2021-22,0.025284228084807514
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,VIC,2022-23,0.020444088817763554
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,VIC,2023-24p,0.007685703773353501
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,QLD,2018-19,0.0032844696445858113
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,QLD,2019-20,0.0037075180226570545
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,QLD,2020-21,0.002475474465939305
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,QLD,2021-22,0.003639240506329114
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,QLD,2022-23,0.0032085873464982643
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,QLD,2023-24p,0.003602134988036705
Table 1.11,"Table 1.11. Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Biological factors,SA,2018-19,0.0025681266942502497
