category,jurisdiction,financial_year,value
,NSW,2019-20,837
,NSW,2020-21,579
,NSW,2021-22,874
,NSW,2022-23,1049
,NSW,2023-24,781
,VIC,2019-20,0
,VIC,2020-21,0
,VIC,2021-22,0
,VIC,2022-23,0
,VIC,2023-24,0
,QLD,2019-20,2445
,QLD,2020-21,1270
,QLD,2021-22,992
,QLD,2022-23,825
,QLD,2023-24,637
,SA,2019-20,145
,SA,2020-21,119
,SA,2021-22,145
,SA,2022-23,184
,SA,2023-24,334
,WA,2019-20,206
,WA,2020-21,157
,WA,2021-22,143
,WA,2022-23,199
,WA,2023-24,119
,TAS,2019-20,83
,TAS,2020-21,55
,TAS,2021-22,70
,TAS,2022-23,81
,TAS,2023-24,51
,NT,2019-20,351
,NT,2020-21,243
,NT,2021-22,100
,NT,2022-23,118
,NT,2023-24,99
,ACT,2019-20,20
,ACT,2020-21,9
,ACT,2021-22,26
,ACT,2022-23,51
,ACT,2023-24,72
,Aus Gov,2019-20,1119
,Aus Gov,2020-21,1238
,Aus Gov,2021-22,923
,Aus Gov,2022-23,671
,Aus Gov,2023-24,748
,Seacare,2019-20,0
,Seacare,2020-21,0
,Seacare,2021-22,0
,Seacare,2022-23,0
,Seacare,2023-24,0
,AUST,2019-20,5206
,AUST,2020-21,3670
,AUST,2021-22,3273
,AUST,2022-23,3178
,AUST,2023-24,2841
