category,jurisdiction,financial_year,value
,NSW,2019-20,0.0146650971239886
,NSW,2020-21,0.0150204477213922
,NSW,2021-22,0.0151165348502872
,NSW,2022-23,0.0156896506774266
,NSW,2023-24,0.0160702592981647
,VIC,2019-20,0.0133700565304427
,VIC,2020-21,0.0131724366369979
,VIC,2021-22,0.0130653827358154
,VIC,2022-23,0.0131685584417211
,VIC,2023-24,0.0187027372976305
,QLD,2019-20,0.0115786355242385
,QLD,2020-21,0.0115943283432813
,QLD,2021-22,0.0114271800255003
,QLD,2022-23,0.0118903378239717
,QLD,2023-24,0.0124529856068952
,SA,2019-20,0.0167490339419558
,SA,2020-21,0.0164630238687656
,SA,2021-22,0.0168648478859625
,SA,2022-23,0.0175283186998099
,SA,2023-24,0.0189032660518492
,WA,2019-20,0.0128094206102784
,WA,2020-21,0.0141233270677812
,WA,2021-22,0.0144264490008139
,WA,2022-23,0.0154533607695627
,WA,2023-24,0.0157660761359002
,TAS,2019-20,0.0171181891769248
,TAS,2020-21,0.0176728297892385
,TAS,2021-22,0.0192473626342916
,TAS,2022-23,0.0201145355885374
,TAS,2023-24,0.0204239830485451
,NT,2019-20,0.0174314137740584
,NT,2020-21,0.0173662217391105
,NT,2021-22,0.018017288985016
,NT,2022-23,0.0196718229233281
,NT,2023-24,0.0209237739173659
,ACTPrivate,2019-20,0.0162209411432148
,ACTPrivate,2020-21,0.0161103850923931
,ACTPrivate,2021-22,0.015948399996099
,ACTPrivate,2022-23,0.0167295021417606
,ACTPrivate,2023-24,0.0174402608922152
,Comcare,2019-20,0.00738645839711235
,Comcare,2020-21,0.00755681322007777
,Comcare,2021-22,0.00704799102373761
,Comcare,2022-23,0.00688730671048717
,Comcare,2023-24,0.00838425614326068
,AUST,2019-20,0.0133574331232725
,AUST,2020-21,0.0136453947304644
,AUST,2021-22,0.0136750458119282
,AUST,2022-23,0.014153708563381
,AUST,2023-24,0.0159217943026659
