category,jurisdiction,financial_year,value
"Falls, trips and slips of a person",AUST,2018-19,0.22531545876350437
"Falls, trips and slips of a person",AUST,2019-20,0.22936604844564715
"Falls, trips and slips of a person",AUST,2020-21,0.22930720145852324
"Falls, trips and slips of a person",AUST,2021-22,0.21896446488916677
"Falls, trips and slips of a person",AUST,2022-23,0.2166329887380087
"Falls, trips and slips of a person",AUST,2023-24p,0.21828220858895706
"Falls, trips and slips of a person",NSW,2018-19,0.22322036892174923
"Falls, trips and slips of a person",NSW,2019-20,0.22553723706651507
"Falls, trips and slips of a person",NSW,2020-21,0.22689724227126706
"Falls, trips and slips of a person",NSW,2021-22,0.1938759926695174
"Falls, trips and slips of a person",NSW,2022-23,0.19520714583622967
"Falls, trips and slips of a person",NSW,2023-24p,0.20271101780802084
"Falls, trips and slips of a person",VIC,2018-19,0.23975120158326266
"Falls, trips and slips of a person",VIC,2019-20,0.23294470197125064
"Falls, trips and slips of a person",VIC,2020-21,0.22526353888612405
"Falls, trips and slips of a person",VIC,2021-22,0.2263728545717923
"Falls, trips and slips of a person",VIC,2022-23,0.22400480096019204
"Falls, trips and slips of a person",VIC,2023-24p,0.22333510486079883
"Falls, trips and slips of a person",QLD,2018-19,0.21684414327202323
"Falls, trips and slips of a person",QLD,2019-20,0.22533470648815654
"Falls, trips and slips of a person",QLD,2020-21,0.2276825280400966
"Falls, trips and slips of a person",QLD,2021-22,0.23373417721518988
"Falls, trips and slips of a person",QLD,2022-23,0.22944316425050315
"Falls, trips and slips of a person",QLD,2023-24p,0.22630347329950307
"Falls, trips and slips of a person",SA,2018-19,0.1970323869310886
"Falls, trips and slips of a person",SA,2019-20,0.21825226000860956
"Falls, trips and slips of a person",SA,2020-21,0.2081799591002045
"Falls, trips and slips of a person",SA,2021-22,0.22445363260484347
"Falls, trips and slips of a person",SA,2022-23,0.22919841511734226
"Falls, trips and slips of a person",SA,2023-24p,0.23634945397815912
"Falls, trips and slips of a person",WA,2018-19,0.2501913428012586
"Falls, trips and slips of a person",WA,2019-20,0.2644814429413805
"Falls, trips and slips of a person",WA,2020-21,0.2650132584620184
"Falls, trips and slips of a person",WA,2021-22,0.2761032071376899
"Falls, trips and slips of a person",WA,2022-23,0.2624315781358415
"Falls, trips and slips of a person",WA,2023-24p,0.2514842776515429
"Falls, trips and slips of a person",TAS,2018-19,0.20450395617772368
"Falls, trips and slips of a person",TAS,2019-20,0.20617283950617285
"Falls, trips and slips of a person",TAS,2020-21,0.21710144927536232
"Falls, trips and slips of a person",TAS,2021-22,0.21340090090090091
"Falls, trips and slips of a person",TAS,2022-23,0.19616596638655462
"Falls, trips and slips of a person",TAS,2023-24p,0.19600591715976332
"Falls, trips and slips of a person",NT,2018-19,0.23252160251374707
"Falls, trips and slips of a person",NT,2019-20,0.2440677966101695
"Falls, trips and slips of a person",NT,2020-21,0.23215821152192606
"Falls, trips and slips of a person",NT,2021-22,0.23568702290076335
"Falls, trips and slips of a person",NT,2022-23,0.2260061919504644
"Falls, trips and slips of a person",NT,2023-24p,0.19770408163265307
"Falls, trips and slips of a person",ACT,2018-19,0.230635838150289
"Falls, trips and slips of a person",ACT,2019-20,0.23099078341013826
"Falls, trips and slips of a person",ACT,2020-21,0.256243213897937
"Falls, trips and slips of a person",ACT,2021-22,0.2129032258064516
"Falls, trips and slips of a person",ACT,2022-23,0.2242822966507177
"Falls, trips and slips of a person",ACT,2023-24p,0.22498586772187676
"Falls, trips and slips of a person",Aus Gov,2018-19,0.21151832460732983
"Falls, trips and slips of a person",Aus Gov,2019-20,0.19959979989994997
"Falls, trips and slips of a person",Aus Gov,2020-21,0.20365296803652969
"Falls, trips and slips of a person",Aus Gov,2021-22,0.1909689557855127
"Falls, trips and slips of a person",Aus Gov,2022-23,0.21047708138447146
"Falls, trips and slips of a person",Aus Gov,2023-24p,0.2009695901278096
"Falls, trips and slips of a person",Seacare,2018-19,0.2777777777777778
"Falls, trips and slips of a person",Seacare,2019-20,0.18888888888888888
"Falls, trips and slips of a person",Seacare,2020-21,0.23684210526315788
"Falls, trips and slips of a person",Seacare,2021-22,0.2391304347826087
"Falls, trips and slips of a person",Seacare,2022-23,0.2542372881355932
"Falls, trips and slips of a person",Seacare,2023-24p,NP
Hitting objects with a part of the body,AUST,2018-19,0.06603660520143134
Hitting objects with a part of the body,AUST,2019-20,0.07047389611246782
Hitting objects with a part of the body,AUST,2020-21,0.07186265572774232
Hitting objects with a part of the body,AUST,2021-22,0.06500379616810326
Hitting objects with a part of the body,AUST,2022-23,0.06481334611485438
Hitting objects with a part of the body,AUST,2023-24p,0.06767552828902522
Hitting objects with a part of the body,NSW,2018-19,0.07433949885185091
