financial_year,financial_year_total,application,type_total,percentage,count
2020-21,7967,Application for review due to non-attendance at hearing,2,0.00%,2
2020-21,7967,Compensation,13,0.20%,13
2020-21,7967,Compensation or bond claim,2737,34.40%,2737
2020-21,7967,Compensation or bond claim (Residential parks),7,0.10%,7
2020-21,7967,Compensation or bond claim (Rooming House),57,0.70%,57
2020-21,7967,Domestic Violence,18,0.20%,18
2020-21,7967,Exemption from the Act,1,0.00%,1
2020-21,7967,Frustration,49,0.60%,49
2020-21,7967,Hardship,7,0.10%,7
2020-21,7967,Hardship or domestic violence,251,3.20%,251
2020-21,7967,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",14,0.20%,14
2020-21,7967,House rules,4,0.10%,4
2020-21,7967,Resolution of dispute between resident and administering authority,32,0.40%,32
2020-21,7967,Retirement Village Rules,3,0.00%,3
2020-21,7967,Return of goods,41,0.50%,41
2020-21,7967,Review of fees and charges,7,0.10%,7
2020-21,7967,Termination and/or possession,3,0.00%,3
2020-21,7967,"Termination and/or possession (conduct, illegal use of premises or abandonment)",367,4.60%,367
2020-21,7967,"Termination and/or possession (conduct, illegal use of premises, hardship or abandonment)",18,0.20%,18
2020-21,7967,testing,2,0.00%,2
2020-21,7967,Vacant possession (breach or other),5,0.10%,5
2020-21,7967,"Vacant possession (breach, end of lease or frustration)",43,0.50%,43
2020-21,7967,"Vacant possession (breach, end of lease or non-compliance)",4283,53.80%,4283
2020-21,7967,Vary or set aside a previous order,3,0.00%,3
2021-22,8179,Administration and/or Guardianship Order with/without Special Powers,1,0.0%,1
2021-22,8179,Bond Dispute Referral,1,0.0%,1
2021-22,8179,Compensation,14,0.2%,14
2021-22,8179,Compensation or bond claim,2570,31.4%,2570
2021-22,8179,Compensation or bond claim (Residential parks),6,0.1%,6
2021-22,8179,Compensation or bond claim (Rooming House),90,1.1%,90
2021-22,8179,Domestic Violence,11,0.1%,11
2021-22,8179,Exemption from the Act,1,0.0%,1
2021-22,8179,Frustration,59,0.7%,59
2021-22,8179,Hardship,10,0.1%,10
2021-22,8179,Hardship or domestic violence,221,2.7%,221
2021-22,8179,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",13,0.2%,13
2021-22,8179,Order for ejectment,2,0.0%,2
2021-22,8179,Permission to serve,3,0.0%,3
2021-22,8179,Request for variation or revocation of Administration Order,1,0.0%,1
2021-22,8179,Request for variation or revocation of Guardianship Order,1,0.0%,1
2021-22,8179,Request for variation or revocation of Special Powers,1,0.0%,1
2021-22,8179,Resolution of dispute between resident and administering authority,19,0.2%,19
2021-22,8179,Return of goods,22,0.3%,22
2021-22,8179,Review of a Notice to Vacate,1,0.0%,1
2021-22,8179,Review of fees and charges,2,0.0%,2
2021-22,8179,Review of Special Powers,1,0.0%,1
2021-22,8179,Termination and/or possession,12,0.1%,12
2021-22,8179,"Termination and/or possession (conduct, illegal use of premises or abandonment)",324,4.0%,324
2021-22,8179,"Termination and/or possession (conduct, illegal use of premises, hardship or abandonment)",21,0.3%,21
2021-22,8179,Vacant possession (breach or other),1,0.0%,1
2021-22,8179,"Vacant possession (breach, end of lease or frustration)",36,0.4%,36
2021-22,8179,"Vacant possession (breach, end of lease or non-compliance)",4730,57.8%,4730
2021-22,8179,Vary or set aside a HIA notice or order,2,0.0%,2
2021-22,8179,Vary or set aside a previous order,3,0.0%,3
2022-23,7758,Bond Dispute Referral,1,0.0%,1
2022-23,7758,Compensation,7,0.1%,7
2022-23,7758,Compensation or bond claim,2675,34.5%,2675
2022-23,7758,Compensation or bond claim (Residential parks),17,0.2%,17
2022-23,7758,Compensation or bond claim (Rooming House),64,0.8%,64
2022-23,7758,Domestic Violence,12,0.2%,12
2022-23,7758,Frustration,55,0.7%,55
2022-23,7758,Hardship (Parks),21,0.3%,21
2022-23,7758,Hardship or domestic violence,253,3.3%,253
2022-23,7758,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",11,0.1%,11
2022-23,7758,Resolution of dispute between resident and administering authority,27,0.3%,27
2022-23,7758,Retirement Village Rules,3,0.0%,3
2022-23,7758,Return of goods,14,0.2%,14
2022-23,7758,Termination and/or possession,5,0.1%,5
2022-23,7758,"Termination and/or possession (conduct, illegal use of premises or abandonment)",325,4.2%,325
2022-23,7758,"Termination and/or possession (conduct, illegal use of premises or abandonment) (Parks)",3,0.0%,3
2022-23,7758,"Termination and/or possession (conduct, illegal use of premises, hardship or abandonment) (Parks)",23,0.3%,23
2022-23,7758,Vacant possession (breach or other),6,0.1%,6
2022-23,7758,"Vacant possession (breach, end of lease or frustration)",45,0.6%,45
2022-23,7758,"Vacant possession (breach, end of lease or non-compliance)",4177,53.8%,4177
2022-23,7758,"Vacant Possession (breach, end of lease or non-compliance) (Parks)",12,0.2%,12
2022-23,7758,Vary or set aside a HIA notice or order,2,0.0%,2
