financial_year,financial_year_total,hearing_type,type_total,count
2020-21,1319,Conference,185,185
2020-21,1319,Hearing,1134,1134
2021-22,1480,Hearing,1480,1480
2022-23,1512,Conference,3,3
2022-23,1512,Hearing,1509,1509
