STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2007324,47.14%,-0.05%
VIC,435550,10.23%,-0.17%
QLD,620328,14.57%,-0.06%
SA,570695,13.40%,-0.20%
WA,449066,10.55%,-0.18%
TAS,143140,3.36%,-0.18%
NT,7348,0.17%,-0.47%
ACT,24400,0.57%,-0.28%
TOTAL,4257851,100.00%,-0.10%
