,Female,,,,,,,
STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,20046,197434,238395,221836,163212,138805,979728,33.23%
VIC,4624,58717,60605,52312,39100,32080,247438,10.89%
QLD,21888,87487,77517,54103,33898,22044,296937,16.54%
SA,23937,58576,57526,56501,44248,36459,277247,40.86%
WA,2045,33692,57166,54402,40959,34821,223085,24.69%
TAS,469,9866,16877,17659,13346,12427,70644,34.24%
NT,158,885,1247,997,586,233,4106,4.91%
ACT,519,3054,3685,3051,2172,1615,14096,9.68%
TOTAL,73686,449711,513018,460861,337521,278484,2113281,23.40%
