STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2028304,47.25%,-0.06%
VIC,443340,10.33%,-0.08%
QLD,626516,14.59%,-0.07%
SA,553447,12.89%,0.12%
WA,462964,10.78%,-0.22%
TAS,145724,3.39%,-0.09%
NT,7836,0.18%,-0.18%
ACT,24966,0.58%,-0.17%
TOTAL,4293097,100.00%,-0.06%
