STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,46821,208280,240733,219921,153514,122973,992242,35.20%
VIC,8780,63802,61430,52293,37097,28994,252396,11.72%
QLD,38626,84167,75730,51354,31525,19156,300558,17.76%
SA,26991,56638,57097,55972,42099,32108,270905,41.12%
WA,3627,41861,59491,55005,39476,31606,231066,27.30%
TAS,806,12161,17447,17971,12738,11133,72256,35.83%
NT,225,1047,1368,989,580,223,4432,5.64%
ACT,710,3335,3641,3089,2123,1493,14391,10.27%
TOTAL,126586,471291,516937,456594,319152,247686,2138246,24.89%
