STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,280721,25.31%,2.51%
VIC,269565,24.31%,2.54%
QLD,234056,21.11%,2.46%
SA,100418,9.06%,2.94%
WA,162847,14.68%,2.63%
TAS,31547,2.84%,4.58%
NT,9026,0.81%,3.90%
ACT,20773,1.87%,4.20%
TOTAL,1108953,100.00%,2.66%
,,,
