Postcode,Age,Sex,Total
0870,21,Male,1
0870,22,Female,1
0870,25,Male,1
0870,26,Male,2
0870,27,Female,2
0870,30,Female,1
0870,31,Male,1
0870,33,Male,1
0870,34,Male,2
0870,43,Female,1
0870,49,Male,1
0870,52,Female,1
0870,53,Male,1
0870,57,Male,2
0870,59,Male,1
0870,60,Female,1
0870,64,Female,1
0870,65,Male,1
0870,67,Male,1
0870,72,Male,1
0871,26,Female,1
0871,30,Male,1
0871,33,Male,1
0871,35,Female,1
0871,36,Female,1
0871,37,Male,1
0871,38,Male,1
0871,40,Female,1
0871,45,Female,1
0871,46,Female,1
0871,48,Male,1
0871,50,Male,1
0871,51,Female,1
0871,53,Male,1
0871,57,Female,1
0871,62,Female,1
0871,64,Male,1
0871,68,Female,1
0871,69,Female,3
0871,69,Male,1
0872,16,Male,3
0872,17,Female,6
0872,17,Male,7
0872,18,Female,3
0872,18,Male,7
0872,19,Female,8
0872,19,Male,3
0872,20,Female,4
0872,20,Male,1
0872,21,Female,5
0872,21,Male,9
0872,22,Female,8
0872,22,Male,5
0872,23,Female,11
0872,23,Male,7
0872,23,Not listed,1
0872,24,Female,11
0872,24,Male,5
0872,25,Female,18
0872,25,Male,6
0872,26,Female,9
0872,26,Male,5
0872,27,Female,14
0872,27,Male,10
0872,27,Not listed,1
0872,28,Female,6
0872,28,Male,6
0872,29,Female,7
0872,29,Male,11
0872,30,Female,11
0872,30,Male,7
0872,31,Female,7
0872,31,Male,7
0872,32,Female,6
0872,32,Male,7
0872,33,Female,9
0872,33,Male,7
0872,33,Not listed,1
0872,34,Female,3
0872,34,Male,4
0872,35,Female,8
0872,35,Male,6
0872,36,Female,6
0872,36,Male,1
0872,37,Female,8
0872,37,Male,3
0872,38,Female,6
0872,38,Male,3
0872,38,Not listed,1
0872,39,Female,4
0872,39,Male,2
0872,40,Female,6
0872,40,Male,3
0872,41,Female,10
0872,41,Male,1
0872,42,Female,2
0872,42,Male,3
0872,43,Female,7
0872,43,Male,5
0872,44,Female,11
0872,44,Male,6
0872,45,Female,2
0872,45,Male,1
0872,46,Female,5
0872,46,Male,4
0872,47,Female,4
0872,47,Male,5
0872,48,Female,6
0872,48,Male,4
0872,49,Female,6
0872,49,Male,4
0872,50,Female,4
0872,50,Male,9
0872,51,Female,9
0872,51,Male,4
0872,52,Female,5
0872,52,Male,6
0872,53,Female,2
0872,53,Male,4
0872,54,Female,3
0872,54,Male,1
0872,55,Female,6
0872,55,Male,8
0872,56,Female,4
0872,56,Male,4
0872,57,Female,6
0872,57,Male,3
0872,58,Female,2
0872,58,Male,2
0872,59,Female,1
0872,59,Male,2
0872,60,Female,2
0872,60,Male,4
0872,61,Female,3
0872,61,Male,2
0872,62,Female,3
0872,62,Male,4
0872,63,Female,3
0872,63,Male,2
0872,64,Female,3
0872,64,Male,2
0872,65,Female,1
0872,65,Male,2
0872,66,Female,1
0872,66,Male,3
0872,67,Female,2
0872,67,Male,3
0872,68,Female,3
0872,68,Male,1
0872,69,Female,1
0872,70,Male,1
0872,71,Female,1
0872,71,Male,3
0872,73,Female,2
0872,75,Male,2
0872,81,Male,1
0872,82,Male,1
5000,16,Female,3
5000,16,Male,8
5000,17,Female,21
5000,17,Male,12
5000,18,Female,20
5000,18,Male,27
5000,19,Female,39
5000,19,Gender X,1
5000,19,Male,40
5000,20,Female,51
5000,20,Male,61
5000,21,Female,60
5000,21,Male,68
5000,21,Not listed,1
5000,22,Female,81
5000,22,Male,76
5000,23,Female,80
5000,23,Male,74
5000,24,Female,91
5000,24,Male,108
5000,25,Female,114
5000,25,Male,116
5000,26,Female,105
5000,26,Gender X,1
5000,26,Male,114
5000,27,Female,101
5000,27,Male,126
5000,28,Female,105
5000,28,Gender X,1
5000,28,Male,124
5000,29,Female,109
5000,29,Male,123
5000,30,Female,92
5000,30,Male,136
5000,31,Female,115
5000,31,Male,116
5000,32,Female,98
5000,32,Gender X,1
5000,32,Male,97
5000,33,Female,98
5000,33,Male,110
5000,33,Not listed,1
5000,34,Female,107
5000,34,Male,126
5000,35,Female,116
5000,35,Male,111
5000,36,Female,83
5000,36,Male,114
5000,37,Female,86
5000,37,Gender X,1
5000,37,Male,122
5000,38,Female,89
5000,38,Male,116
5000,39,Female,93
5000,39,Gender X,1
5000,39,Male,82
5000,39,Not listed,1
5000,40,Female,78
5000,40,Male,97
5000,41,Female,72
