STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1986924,46.61%,-0.07%
VIC,429057,10.06%,-0.10%
QLD,618168,14.50%,-0.03%
SA,614707,14.42%,0.21%
WA,442412,10.38%,-0.05%
TAS,140173,3.29%,-0.08%
NT,7190,0.17%,-0.44%
ACT,24520,0.58%,-0.11%
TOTAL,4263151,100.00%,-0.03%
