STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,3206,168843,233238,222728,173618,166566,968199,33.06%
VIC,4726,48636,61381,51399,40184,37409,243735,10.72%
QLD,6043,87388,80753,58198,36297,27482,296161,16.62%
SA,25538,61003,59856,57904,47253,44342,295896,43.74%
WA,1788,24194,54260,54853,42534,41757,219386,23.51%
TAS,561,6833,15926,17128,13928,14556,68932,33.23%
NT,143,761,1174,1013,602,303,3996,5.47%
ACT,568,2667,3784,3053,2219,1912,14203,9.43%
TOTAL,42573,400325,510372,466276,356635,334327,2110508,23.39%
