STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,130,5844,12173,19773,20956,24588,32861,116325,4.28%
VIC,170,9152,19259,24054,21609,20334,20968,115546,5.57%
QLD,155,6535,13465,19609,20712,22214,23071,105761,6.36%
SA,2140,5572,5330,7371,8008,8950,11241,48612,7.69%
WA,119,6399,11816,15140,14555,14020,13797,75846,8.85%
TAS,45,1024,1955,2553,3072,3381,3107,15137,7.88%
NT,6,201,630,749,738,611,295,3230,3.76%
ACT,20,817,1777,1983,1734,1583,1367,9281,6.82%
TOTAL,2785,35544,66405,91232,91384,95681,106707,489738,5.86%
