STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,284975,23.06%,0.50%
VIC,296818,24.01%,0.91%
QLD,268278,21.71%,0.62%
SA,119300,9.65%,1.14%
WA,195016,15.78%,1.19%
TAS,39270,3.18%,0.55%
NT,8694,0.70%,1.25%
ACT,23647,1.91%,1.21%
TOTAL,1235998,100.00%,0.82%
