STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2006790,47.13%,-0.24%
VIC,435664,10.23%,-0.52%
QLD,620563,14.57%,-0.15%
SA,571868,13.43%,0.62%
WA,448622,10.54%,-0.71%
TAS,143082,3.36%,-0.52%
NT,7347,0.17%,-1.65%
ACT,24412,0.57%,-0.53%
TOTAL,4258348,100.00%,-0.21%
