STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,24318,195834,235113,228053,179020,166594,1028932,36.08%
VIC,2800,41474,42133,40880,30882,27146,185315,8.42%
QLD,25444,96376,83998,57008,35637,25398,323861,18.29%
SA,26401,60336,58140,57073,47443,42942,292335,44.78%
WA,1175,32381,56121,54317,42858,38771,225623,24.38%
TAS,222,9506,16834,17502,14341,14293,72698,36.91%
NT,73,408,995,902,616,281,3275,3.62%
ACT,284,1648,2742,2414,1875,1420,10383,7.29%
TOTAL,80717,437963,496076,458149,352672,316845,2142422,24.26%
