STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,344430,21.60%,0.34%
VIC,394530,24.74%,0.56%
QLD,325490,20.41%,0.33%
SA,171035,10.73%,0.81%
WA,262059,16.43%,0.46%
TAS,49330,3.09%,0.86%
NT,12870,0.81%,0.34%
ACT,34980,2.19%,0.57%
TOTAL,1594724,100.00%,0.48%
