STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2021306,47.26%,-0.06%
VIC,440980,10.31%,-0.09%
QLD,624070,14.59%,-0.07%
SA,555689,12.99%,0.24%
WA,457688,10.70%,-0.22%
TAS,144842,3.39%,-0.11%
NT,7639,0.18%,-0.48%
ACT,24754,0.58%,-0.19%
TOTAL,4276968,100.00%,-0.05%
