STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2009418,47.12%,0.13%
VIC,437141,10.25%,0.34%
QLD,621091,14.56%,0.09%
SA,570641,13.38%,-0.21%
WA,450531,10.57%,0.43%
TAS,143514,3.37%,0.30%
NT,7421,0.17%,1.01%
ACT,24547,0.58%,0.55%
TOTAL,4264304,100.00%,0.14%
