STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,410389,22.46%,0.46%
VIC,458204,25.07%,0.24%
QLD,360544,19.73%,0.25%
SA,209471,11.46%,0.37%
WA,279671,15.30%,0.17%
TAS,54975,3.01%,0.31%
NT,13500,0.74%,-0.06%
ACT,40794,2.23%,0.32%
TOTAL,1827548,100.00%,0.30%
