STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,139,3276,16778,24719,27961,30825,54813,158511,5.40%
VIC,81,5501,29315,33875,32307,30457,40700,172236,7.60%
QLD,65,2890,16394,22743,25911,26718,39883,134604,7.40%
SA,2976,9501,12205,11671,13219,13632,22114,85318,12.80%
WA,30,3367,17068,19780,20764,19855,26056,106920,10.60%
TAS,2,641,2649,3081,3705,4392,5890,20360,10.00%
NT,0,127,847,1050,1089,1011,723,4847,4.90%
ACT,8,647,3163,3234,3002,2623,3151,15828,10.50%
TOTAL,3301,25950,98419,120153,127958,129513,193330,698624,7.70%
