STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,69,4505,13903,22354,23790,27109,41742,133472,4.68%
VIC,97,8574,25045,30405,26364,25004,28920,144409,6.56%
QLD,87,5826,14838,22536,23587,24747,30404,122025,6.89%
SA,2062,7997,7648,9929,10638,11454,15928,65656,10.06%
WA,51,6691,15593,18937,18943,18441,19927,98583,10.65%
TAS,34,946,2270,2953,3393,3960,4233,17789,9.03%
NT,7,246,827,994,1059,922,492,4547,5.02%
ACT,22,921,2594,2699,2502,2171,2160,13069,9.17%
TOTAL,2429,35706,82718,110807,110276,113808,143806,599550,6.79%
