STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,335817,21.78%,0.28%
VIC,378547,24.56%,0.50%
QLD,317976,20.63%,0.26%
SA,162277,10.53%,0.76%
WA,253972,16.47%,0.44%
TAS,47261,3.07%,0.21%
NT,12501,0.81%,0.51%
ACT,33267,2.16%,0.54%
TOTAL,1541618,100.00%,0.41%
