STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1953574,45.69%,-0.12%
VIC,425531,9.95%,-0.15%
QLD,615721,14.40%,-0.12%
SA,671531,15.71%,0.16%
WA,438502,10.26%,-0.10%
TAS,138465,3.24%,-0.07%
NT,7191,0.17%,-0.06%
ACT,24916,0.58%,-0.22%
TOTAL,4275431,100.00%,-0.08%
