STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,1563,110619,215528,229037,201682,246064,1004493,34.0%
VIC,1617,22214,44553,39830,33872,37745,179831,7.8%
QLD,1328,74237,89211,70353,44641,40221,319991,17.4%
SA,32454,67301,66548,63279,55495,66577,351654,52.3%
WA,626,12053,46516,55242,47455,57911,219803,21.5%
TAS,182,2864,14115,16748,15970,20552,70431,34.5%
NT,38,304,683,1021,711,450,3207,3.2%
ACT,178,1189,2404,2593,2005,2005,10374,6.8%
TOTAL,37986,290781,479558,478103,401831,471525,2159784,23.3%
