STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,4930,111024,216366,224478,188165,204085,949048,31.0%
VIC,5337,32298,63755,53166,42564,44847,241967,10.1%
QLD,5185,69820,78693,65484,41464,35082,295728,15.7%
SA,29528,60448,61503,60199,51957,56150,319785,46.0%
WA,2091,14557,47780,55274,46120,51591,217413,21.5%
TAS,586,3654,14097,16631,15203,17863,68034,32.5%
NT,169,621,1017,1108,668,401,3984,4.6%
ACT,613,2287,3687,3259,2375,2321,14542,9.3%
TOTAL,48439,294709,486898,479599,388516,412340,2110501,22.2%
