STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1976180,46.41%,-0.06%
VIC,425626,10.00%,-0.08%
QLD,615900,14.46%,-0.04%
SA,628737,14.77%,0.25%
WA,440598,10.35%,-0.04%
TAS,139636,3.28%,-0.03%
NT,7125,0.17%,-0.03%
ACT,24337,0.57%,-0.11%
TOTAL,4258139,100.00%,-0.01%
