STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1999986,47.00%,-0.04%
VIC,432077,10.15%,-0.04%
QLD,619040,14.55%,0.01%
SA,585189,13.75%,0.27%
WA,445142,10.46%,-0.07%
TAS,142542,3.35%,-0.02%
NT,7231,0.17%,-0.34%
ACT,24372,0.57%,0.41%
TOTAL,4255579,100.00%,0.01%
