STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,9517,188972,233195,228286,182954,181513,1024437,35.61%
VIC,1816,38700,42272,40187,30624,29251,182850,8.22%
QLD,15108,97713,85857,59040,36952,28031,322701,18.02%
SA,26150,62381,59703,57783,48558,47090,301665,45.81%
WA,901,27606,54952,54050,43384,42077,222970,23.68%
TAS,193,8060,16656,17303,14559,15475,72246,36.46%
NT,62,377,935,909,598,317,3198,3.54%
ACT,218,1539,2703,2425,1867,1521,10273,7.07%
TOTAL,53965,425348,496273,459983,359496,345275,2140340,23.98%
