STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,353638,21.61%,0.50%
VIC,406698,24.85%,0.37%
QLD,331561,20.26%,0.24%
SA,178347,10.90%,0.43%
WA,265397,16.22%,0.13%
TAS,51409,3.14%,0.65%
NT,13114,0.80%,0.20%
ACT,36187,2.21%,0.43%
TOTAL,1636351,100.00%,0.35%
