STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1991203,46.71%,-0.04%
VIC,429942,10.09%,0.01%
QLD,618920,14.52%,0.03%
SA,607530,14.25%,0.34%
WA,443081,10.39%,-0.02%
TAS,140616,3.30%,-0.03%
NT,7212,0.17%,0.01%
ACT,24630,0.58%,0.03%
TOTAL,4263134,100.00%,0.03%
