STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,334868,21.81%,0.31%
VIC,376676,24.53%,0.56%
QLD,317143,20.66%,0.31%
SA,161050,10.49%,0.93%
WA,252871,16.47%,0.53%
TAS,47160,3.07%,0.30%
NT,12438,0.81%,0.72%
ACT,33087,2.16%,0.60%
TOTAL,1535293,100.00%,0.48%
