STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,145,3264,16768,24699,27856,30589,54836,158157,5.40%
VIC,81,5696,29225,33906,32145,30337,40248,171638,7.60%
QLD,67,2966,16458,22726,25766,26578,39502,134063,7.40%
SA,2961,9475,12050,11649,13118,13593,21879,84725,12.70%
WA,30,3535,17060,19767,20683,19757,25826,106658,10.50%
TAS,5,658,2646,3073,3695,4384,5819,20280,10.00%
NT,1,132,851,1048,1096,1017,712,4857,4.90%
ACT,8,662,3173,3201,2962,2618,3100,15724,10.40%
TOTAL,3298,26388,98231,120069,127321,128873,191922,696102,7.60%
