STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,408438,22.46%,0.46%
VIC,456043,25.08%,0.28%
QLD,358407,19.71%,0.35%
SA,207904,11.43%,0.43%
WA,278800,15.33%,0.14%
TAS,54740,3.01%,0.25%
NT,13487,0.74%,0.07%
ACT,40507,2.23%,0.34%
TOTAL,1818326,99.99%,0.33%
