state_or_territory,client_characteristics,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25
National,Number of unassisted requests,86103,92292,95252,114026,105085,107520,109807,128915
National,Female (per cent),65.9,64.7,66.3,65.6,65.3,65.2,65.7,65
National,Male (per cent),34.1,35.3,33.7,34.4,34.7,34.8,34.3,35
National,Sex (per cent),100,100,100,100,100,100,100,100
National,Lone person (per cent),58.3,56.1,56.9,57,58.7,64.4,65,64.7
National,Sole parent (per cent),36.8,37.5,34.9,35.4,34.1,29.7,29.5,30
National,Couple with child(ren) (per cent),0.3,0.4,0.5,0.5,0.4,0.4,0.4,0.6
National,Couple without children (per cent),1.9,1.6,2.3,1.5,2.1,1.2,1.1,1.3
National,Other family group (per cent),2.7,4.4,5.4,5.6,4.7,4.3,4.1,3.4
National,Presenting unit type (per cent),100,100,100,100,100,100,100,100
National,Average number of times a person approached an agency,1.5,1.7,1.7,1.7,1.6,1.5,1.5,1.6
National,Unassisted people who received services through the year (per cent),47.1,45.3,47.7,47.1,48,48.8,47.7,47.7
New South Wales,Number of unassisted requests,11462,10496,9022,11199,13570,16975,20825,21530
New South Wales,Female (per cent),63.9,67.1,67.8,69.8,70.4,66.2,67.1,64.7
New South Wales,Male (per cent),36.1,32.9,32.2,30.2,29.6,33.8,32.9,35.3
New South Wales,Sex (per cent),100,100,100,100,100,100,100,100
New South Wales,Lone person (per cent),75,76.8,82.5,81.8,79.8,79.6,76.3,77.7
New South Wales,Sole parent (per cent),22.5,19.6,15.1,15.9,17.4,17.2,19,19.1
New South Wales,Couple with child(ren) (per cent),0.2,0.8,0.3,0.1,0.3,0.4,0.6,0.4
New South Wales,Couple without children (per cent),1,1.6,0.8,0.8,0.9,0.7,0.7,0.8
New South Wales,Other family group (per cent),1.2,1.2,1.4,1.4,1.5,2.1,3.4,2
New South Wales,Presenting unit type (per cent),100,100,100,100,100,100,100,100
New South Wales,Average number of times a person approached an agency,1.3,1.2,1.3,1.3,1.3,1.3,1.3,1.3
New South Wales,Unassisted people who received services through the year (per cent),43.9,39,46.6,47.3,44.2,45.3,44.9,45.3
Victoria,Number of unassisted requests,32672,38125,39659,48720,35089,31377,26017,33125
Victoria,Female (per cent),63.3,59.1,61.6,59.4,57.6,60.6,63,62.1
Victoria,Male (per cent),36.7,40.9,38.4,40.6,42.4,39.4,37,37.9
Victoria,Sex (per cent),100,100,100,100,100,100,100,100
Victoria,Lone person (per cent),58.3,47.7,55.4,64.7,62,75.6,80.3,81.9
Victoria,Sole parent (per cent),34.8,40.6,28.6,18.1,22.3,15.9,11,11.7
Victoria,Couple with child(ren) (per cent),0.5,0.3,0.5,0.9,0.4,0.3,0.2,0.3
Victoria,Couple without children (per cent),4,2.4,5.4,2.8,4.9,2.3,1.7,1.9
Victoria,Other family group (per cent),2.3,9,10.1,13.5,10.3,5.9,6.8,4.2
Victoria,Presenting unit type (per cent),100,100,100,100,100,100,100,100
Victoria,Average number of times a person approached an agency,1.7,2.2,1.8,1.8,1.6,1.3,1.3,1.3
Victoria,Unassisted people who received services through the year (per cent),54,52.5,51.6,51.2,55.3,63.2,62,64.1
Queensland,Number of unassisted requests,4673,3649,4315,4441,4310,7612,11206,15834
Queensland,Female (per cent),64.5,67.9,69.7,68.4,63.9,65.6,56.4,60.5
Queensland,Male (per cent),35.5,32.1,30.3,31.6,36.1,34.4,43.6,39.5
Queensland,Sex (per cent),100,100,100,100,100,100,100,100
Queensland,Lone person (per cent),62.2,66.2,65.7,67.8,68.2,75.9,79.5,80.4
Queensland,Sole parent (per cent),32,27.7,24.7,23.8,25.6,21,17.2,16.3
Queensland,Couple with child(ren) (per cent),0.5,3.9,0.1,1,0.2,0.4,0.2,0.2
Queensland,Couple without children (per cent),3.4,2.3,3.3,2.1,3.4,1.2,1.3,2
Queensland,Other family group (per cent),1.9,—,6.1,5.2,2.6,1.5,1.8,1.2
Queensland,Presenting unit type (per cent),100,100,100,100,100,100,100,100
Queensland,Average number of times a person approached an agency,1.1,1.1,1.2,1.2,1.1,1.2,1.2,1.2
Queensland,Unassisted people who received services through the year (per cent),45.9,48.6,45.1,45.8,43.6,45.6,40.4,39.8
Western Australia,Number of unassisted requests,20733,22435,20897,23619,27100,27403,28855,35171
Western Australia,Female (per cent),66.3,66.8,66,65.5,63.8,63,64.7,63.7
Western Australia,Male (per cent),33.7,33.2,34,34.5,36.2,37,35.3,36.3
Western Australia,Sex (per cent),100,100,100,100,100,100,100,100
Western Australia,Lone person (per cent),62.6,63.8,60.7,55.6,60.8,65.1,61.4,51.6
Western Australia,Sole parent (per cent),33.6,32.6,34.5,39.7,33.6,29.6,33.9,42.2
Western Australia,Couple with child(ren) (per cent),0,0.3,0.9,0.5,0.6,0.6,0.3,1.3
Western Australia,Couple without children (per cent),1,1.1,1.2,1.3,1.6,1,0.7,0.9
Western Australia,Other family group (per cent),2.8,2.1,2.8,2.9,3.4,3.7,3.7,4
Western Australia,Presenting unit type (per cent),100,100,100,100,100,100,100,100
Western Australia,Average number of times a person approached an agency,1.5,1.4,1.5,1.6,1.6,1.5,1.6,1.9
Western Australia,Unassisted people who received services through the year (per cent),36.8,35.6,38.1,38.5,40.8,38.3,39.4,39.1
South Australia,Number of unassisted requests,337,472,873,933,840,850,863,933
South Australia,Female (per cent),60.8,43,45.7,56.5,65.1,58.9,69.6,75
South Australia,Male (per cent),39.2,57,54.3,43.5,34.9,41.1,30.4,25
South Australia,Sex (per cent),100,100,100,100,100,100,100,100
South Australia,Lone person (per cent),100,100,100,100,100,100,100,100
South Australia,Presenting unit type (per cent),100,100,100,100,100,100,100,100
South Australia,Average number of times a person approached an agency,1,1.2,1.3,1.3,1.2,1.2,1.1,1.2
South Australia,Unassisted people who received services through the year (per cent),54,56.2,61,57.2,49.7,44.7,45.8,45.3
Tasmania,Number of unassisted requests,10336,11329,13315,16926,15384,13379,12345,11430
Tasmania,Female (per cent),69.7,67.4,71.2,72.4,70,66.9,67.5,66.3
Tasmania,Male (per cent),30.3,32.6,28.8,27.6,30,33.1,32.5,33.7
Tasmania,Sex (per cent),100,100,100,100,100,100,100,100
Tasmania,Lone person (per cent),34,34.6,33.5,25.4,26.6,30.1,31.1,33
Tasmania,Sole parent (per cent),63.6,63.9,62.8,72.8,70.7,68,67.4,64.5
Tasmania,Couple with child(ren) (per cent),0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2
Tasmania,Couple without children (per cent),0.3,0.3,0.3,0.3,0.5,0.3,0.6,0.4
Tasmania,Other family group (per cent),2,1.1,3.2,1.4,2,1.4,0.9,1.9
Tasmania,Presenting unit type (per cent),100,100,100,100,100,100,100,100
Tasmania,Average number of times a person approached an agency,2.2,2.2,2.5,3,2.8,2.5,2.4,2.3
Tasmania,Unassisted people who received services through the year (per cent),55.8,53.5,55,52.4,52.3,52.7,50.5,50.2
Australian Capital Territory,Number of unassisted requests,473,282,308,322,400,305,352,342
Australian Capital Territory,Female (per cent),71,75.2,64.3,60.2,67.5,75.4,71,68.1
Australian Capital Territory,Male (per cent),29,24.8,35.7,39.8,32.5,24.6,29,31.9
Australian Capital Territory,Sex (per cent),100,100,100,100,100,100,100,100
Australian Capital Territory,Lone person (per cent),44.9,49.1,59.5,77.3,84.1,92.2,86.9,86
Australian Capital Territory,Sole parent (per cent),50.8,45.6,40.5,21.7,14.2,7.8,13.1,11.7
Australian Capital Territory,Couple with child(ren) (per cent),0.3,5.3,—,1,1.3,—,—,2.3
Australian Capital Territory,Couple without children (per cent),3.9,—,—,—,0.4,—,—,—
Australian Capital Territory,Presenting unit type (per cent),100,100,100,100,100,100,100,100
Australian Capital Territory,Average number of times a person approached an agency,1,1,1,1,1.1,1.1,1.1,1.1
Australian Capital Territory,Unassisted people who received services through the year (per cent),36.3,63,63.6,61.9,66.4,66.3,64.5,53.8
Northern Territory,Number of unassisted requests,5417,5504,6863,7866,8392,9619,9344,10550
Northern Territory,Female (per cent),78.9,84.1,84.1,83.8,86,81.6,81.8,82.9
Northern Territory,Male (per cent),21.1,15.9,15.9,16.2,14,18.4,18.2,17.1
Northern Territory,Sex (per cent),100,100,100,100,100,100,100,100
Northern Territory,Lone person (per cent),54,69.7,58.6,65.1,68.8,63.7,62.8,62.9
Northern Territory,Sole parent (per cent),35.8,22.2,31.7,29.2,22.2,20.2,25.1,26.8
Northern Territory,Couple with child(ren) (per cent),0.6,0.7,0.3,0.6,0.5,0.6,0.9,0.5
Northern Territory,Couple without children (per cent),1,1.2,1.6,1.2,1.3,2.3,2.2,2.6
Northern Territory,Other family group (per cent),8.6,6.2,7.7,3.9,7.3,13.3,9,7.2
Northern Territory,Presenting unit type (per cent),100,100,100,100,100,100,100,100
Northern Territory,Average number of times a person approached an agency,1.7,1.9,2.4,2.2,2.3,2,1.9,2.1
Northern Territory,Unassisted people who received services through the year (per cent),51.9,50.9,55.6,48.9,48.9,44.1,42.5,41.2
