state_territory,data_type,sex,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2013_14_to_2024_25
Western Australia,"Clients (per 10,000 ERP)",Males,2.1,4.9,5.4,5.2,2.8,2.2,1.6,1.2,1.3,1.5,1.5,1.2,-5
Western Australia,"Clients (per 10,000 ERP)",Females,2,3.8,4,4.4,2.5,2,1.5,1.4,1.7,1.8,2.7,2.1,0.4
Western Australia,"Clients (per 10,000 ERP)",All clients,2.1,4.4,4.7,4.8,2.6,2.1,1.6,1.3,1.5,1.7,2.1,1.7,-1.9
South Australia,Clients (number),Males,153,228,284,336,427,516,401,367,415,421,498,477,10.9
South Australia,Clients (number),Females,151,212,257,339,395,499,374,338,428,407,410,458,10.6
South Australia,Clients (number),All clients,304,439,541,674,822,1015,775,705,843,828,908,935,10.7
South Australia,Support periods (number),Males,298,413,484,576,694,881,727,650,871,848,1057,988,11.5
South Australia,Support periods (number),Females,309,386,480,712,744,968,720,688,989,921,961,1060,11.9
South Australia,Support periods (number),All clients,607,798,963,1288,1438,1849,1447,1338,1860,1769,2018,2048,11.7
South Australia,"Clients (per 10,000 ERP)",Males,1.9,2.7,3.4,4,5,6,4.6,4.1,4.7,4.7,5.4,5.1,9.4
South Australia,"Clients (per 10,000 ERP)",Females,1.8,2.5,3,3.9,4.5,5.7,4.2,3.7,4.7,4.4,4.4,4.8,9.3
South Australia,"Clients (per 10,000 ERP)",All clients,1.8,2.6,3.2,3.9,4.8,5.8,4.4,3.9,4.7,4.5,4.9,5,9.7
Tasmania,Clients (number),Males,139,178,234,257,127,85,92,100,106,91,109,106,-2.5
Tasmania,Clients (number),Females,132,158,233,247,122,78,91,90,86,88,103,94,-3
Tasmania,Clients (number),All clients,271,336,468,504,249,163,183,190,192,179,212,200,-2.7
Tasmania,Support periods (number),Males,238,374,584,584,243,165,215,196,234,200,270,202,-1.5
Tasmania,Support periods (number),Females,266,350,579,562,269,176,206,185,170,184,267,198,-2.7
Tasmania,Support periods (number),All clients,505,724,1163,1146,512,341,421,381,404,384,537,400,-2.1
Tasmania,"Clients (per 10,000 ERP)",Males,5.5,7,9.2,10,4.9,3.2,3.4,3.6,3.8,3.2,3.8,3.7,-3.5
Tasmania,"Clients (per 10,000 ERP)",Females,5.1,6.1,9,9.5,4.6,2.9,3.3,3.2,3,3.1,3.6,3.2,-4.1
Tasmania,"Clients (per 10,000 ERP)",All clients,5.3,6.5,9.1,9.7,4.7,3,3.3,3.4,3.4,3.1,3.7,3.5,-3.7
Australian Capital Territory,Clients (number),Males,62,83,73,96,50,48,62,57,43,40,60,58,-0.5
Australian Capital Territory,Clients (number),Females,67,82,83,81,51,35,37,43,46,44,40,56,-1.6
Australian Capital Territory,Clients (number),All clients,128,165,156,178,101,83,99,100,89,84,100,114,-1.1
Australian Capital Territory,Support periods (number),Males,109,117,133,181,69,60,103,75,64,55,87,77,-3.1
Australian Capital Territory,Support periods (number),Females,107,131,140,159,110,60,55,73,77,71,75,105,-0.1
Australian Capital Territory,Support periods (number),All clients,216,248,273,341,179,120,158,148,141,126,162,182,-1.5
Australian Capital Territory,"Clients (per 10,000 ERP)",Males,3.2,4.3,3.7,4.8,2.4,2.3,2.9,2.6,1.9,1.8,2.6,2.5,-2.2
Australian Capital Territory,"Clients (per 10,000 ERP)",Females,3.5,4.2,4.1,4,2.4,1.6,1.7,1.9,2,1.9,1.7,2.3,-3.7
Australian Capital Territory,"Clients (per 10,000 ERP)",All clients,3.3,4.2,3.9,4.4,2.4,1.9,2.3,2.2,2,1.8,2.1,2.4,-2.9
Northern Territory,Clients (number),Males,65,86,135,129,110,81,96,74,86,89,101,95,3.4
Northern Territory,Clients (number),Females,121,144,148,176,131,103,113,113,106,114,124,107,-1.1
Northern Territory,Clients (number),All clients,186,230,283,306,241,184,209,187,192,203,225,202,0.8
Northern Territory,Support periods (number),Males,77,122,189,205,155,108,135,111,121,130,159,150,6.3
Northern Territory,Support periods (number),Females,214,255,247,323,261,195,181,208,169,186,198,196,-0.8
Northern Territory,Support periods (number),All clients,291,377,436,528,416,303,316,319,290,316,357,346,1.6
Northern Territory,"Clients (per 10,000 ERP)",Males,5.2,6.8,10.6,10.1,8.6,6.4,7.6,5.9,6.8,6.9,7.7,7.1,2.9
Northern Territory,"Clients (per 10,000 ERP)",Females,10.5,12.4,12.7,14.9,11,8.6,9.4,9.3,8.7,9.2,9.9,8.4,-2
Northern Territory,"Clients (per 10,000 ERP)",All clients,7.7,9.5,11.6,12.4,9.7,7.4,8.5,7.6,7.7,8,8.7,7.7,0
