state_territory,data_type,remoteness_area,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
National,Support periods (number),Outer regional,Males,16019,15783,15795,16518,18396,18054,18151,18796,18680,17912,17270,17819,16687,17665,0.8
National,Support periods (number),Outer regional,Females,21789,22166,23088,25168,27768,27866,28359,29691,30667,31267,31731,31400,30439,32499,3.1
National,Support periods (number),Outer regional,All clients,37808,37949,38882,41686,46165,45920,46510,48487,49347,49179,49001,49219,47126,50164,2.2
National,Support periods (number),Remote and very remote,Males,4066,5128,4653,5843,6901,7028,6672,7027,8658,9169,9132,8386,8539,7974,5.3
National,Support periods (number),Remote and very remote,Females,9888,11884,12111,13333,14008,14139,14766,15912,17734,18956,18948,19433,19752,19795,5.5
National,Support periods (number),Remote and very remote,All clients,13954,17012,16765,19176,20909,21167,21438,22939,26392,28125,28080,27819,28291,27769,5.4
National,"Clients (per 10,000 ERP)",Major cities,Males,77.9,81.4,83.5,81.2,84.2,82.8,79.6,80.2,78.1,72.7,71.7,74.7,74.3,75.5,-0.2
National,"Clients (per 10,000 ERP)",Major cities,Females,104.9,105.9,110.5,112.2,120.3,121.7,122.3,115.2,113.3,105.5,103.5,101,102.6,106.7,0.1
National,"Clients (per 10,000 ERP)",Major cities,All clients,91.5,93.8,97.1,96.8,102.4,102.5,101.2,97.9,95.9,89.3,87.8,88,88.6,91.3,0
National,"Clients (per 10,000 ERP)",Inner regional,Males,103.7,104.3,105.7,99.5,118.5,127,122.6,124.5,119.1,115.2,108.6,104.7,105,108.5,0.3
National,"Clients (per 10,000 ERP)",Inner regional,Females,161.5,161.8,161.7,148.6,164.9,178.3,180.2,182.9,179.6,170.8,163,155.1,154,159.2,-0.1
National,"Clients (per 10,000 ERP)",Inner regional,All clients,132.8,133.2,133.9,124.2,141.9,152.9,151.6,154,149.6,143.3,136,130.1,129.7,134.1,0.1
National,"Clients (per 10,000 ERP)",Outer regional,Males,116.4,111,109.3,112.9,123.6,125.1,121.4,125.7,121.9,115.6,112.5,115,107.5,114.6,-0.1
National,"Clients (per 10,000 ERP)",Outer regional,Females,162.6,158.3,158.6,168.2,181.6,182.6,176.8,184,186.1,183.8,186.2,188.7,184.6,195.3,1.4
National,"Clients (per 10,000 ERP)",Outer regional,All clients,139.2,134.3,133.6,140.2,152.3,153.5,148.8,154.5,153.6,149.2,148.8,151.3,145.5,154.4,0.8
National,"Clients (per 10,000 ERP)",Remote and very remote,Males,119.8,131.3,128.6,160.4,181.6,184.2,175.9,192.4,232.1,240.5,234.5,213.1,221.9,210.5,4.4
National,"Clients (per 10,000 ERP)",Remote and very remote,Females,309.3,336.2,343.9,363.5,371.8,373.3,377.6,405.9,446.4,454.2,456.8,455,470.3,475,3.4
National,"Clients (per 10,000 ERP)",Remote and very remote,All clients,207,225.6,227.7,254.6,270.5,273.6,271.5,294,334.3,342.7,340.9,328.8,340.7,337.1,3.8
National,Clients (proportion of all SHS clients),Major cities,All clients,61.2,61.9,62.9,63.5,62.6,61.8,62.1,60.8,60.5,59.6,59.7,60.4,61.2,61.1,. .
National,Clients (proportion of all SHS clients),Inner regional,All clients,22.7,22.3,21.9,20.4,21.5,22.7,22.7,23.3,22.9,23.2,22.8,22,21.7,21.7,. .
National,Clients (proportion of all SHS clients),Outer regional,All clients,11.6,10.9,10.5,11.1,11,10.8,10.5,10.9,10.9,11.1,11.4,11.6,11,11.3,. .
National,Clients (proportion of all SHS clients),Remote and very remote,All clients,4.5,4.8,4.7,5.1,4.9,4.7,4.7,5,5.7,6.1,6.2,6,6.1,5.9,. .
New South Wales,Clients (number),Major cities,Males,15379,15291,15621,14647,19358,19369,18263,18545,17059,16925,16285,17346,17047,16113,0.4
New South Wales,Clients (number),Major cities,Females,18476,17780,18956,18233,25222,25040,24137,24896,23586,24071,24084,24829,24873,24826,2.3
New South Wales,Clients (number),Major cities,All clients,33856,33071,34576,32880,44579,44409,42400,43441,40645,40996,40369,42175,41920,40939,1.5
New South Wales,Clients (number),Inner regional,Males,4929,5889,5120,4048,8196,9584,9382,9434,9483,9754,8744,8099,7899,8071,3.9
New South Wales,Clients (number),Inner regional,Females,8054,9634,8792,7089,11229,13344,13157,13372,13743,13840,13167,12162,11777,12488,3.4
New South Wales,Clients (number),Inner regional,All clients,12982,15523,13912,11137,19425,22928,22539,22806,23226,23594,21911,20261,19676,20559,3.6
New South Wales,Clients (number),Outer regional,Males,1730,933,961,1563,2172,2674,2540,2783,2477,2225,2197,2097,2201,2230,2
New South Wales,Clients (number),Outer regional,Females,2738,1758,1776,2433,3165,3507,3459,3862,3360,3000,3154,2896,3168,3159,1.1
New South Wales,Clients (number),Outer regional,All clients,4469,2691,2737,3996,5337,6181,5999,6645,5837,5225,5351,4993,5369,5389,1.5
New South Wales,Clients (number),Remote and very remote,Males,297,228,177,104,146,285,282,271,246,271,290,336,339,314,0.4
New South Wales,Clients (number),Remote and very remote,Females,502,440,383,144,227,414,408,386,418,502,552,623,587,623,1.7
New South Wales,Clients (number),Remote and very remote,All clients,799,668,560,248,373,699,690,657,664,773,842,959,926,937,1.2
New South Wales,Support periods (number),Major cities,Males,22580,23845,21508,19611,28401,29843,30333,28336,24632,24133,22017,24400,24250,22503,0
New South Wales,Support periods (number),Major cities,Females,24655,23913,23548,23930,35106,35965,37564,37342,34873,35752,34554,36794,37047,36121,3
New South Wales,Support periods (number),Major cities,All clients,47235,47758,45056,43541,63507,65808,67897,65678,59505,59885,56571,61194,61297,58624,1.7
New South Wales,Support periods (number),Inner regional,Males,5812,7041,5977,4766,10359,12260,12411,12325,12169,12268,10953,10110,9766,10010,4.3
New South Wales,Support periods (number),Inner regional,Females,9593,11853,10834,8662,15034,18013,18055,18240,18327,18513,17703,16424,15503,16345,4.2
New South Wales,Support periods (number),Inner regional,All clients,15405,18894,16811,13428,25394,30273,30466,30565,30496,30781,28656,26534,25269,26355,4.2
New South Wales,Support periods (number),Outer regional,Males,1890,1175,1093,1775,2629,3308,3250,3551,3082,2815,2788,2595,2743,2832,3.2
New South Wales,Support periods (number),Outer regional,Females,3212,2265,2221,2999,4131,4633,4676,5318,4471,4180,4339,3820,4177,4201,2.1
New South Wales,Support periods (number),Outer regional,All clients,5103,3440,3314,4774,6760,7941,7926,8869,7553,6995,7127,6415,6920,7033,2.5
New South Wales,Support periods (number),Remote and very remote,Males,258,254,155,131,164,354,393,344,316,310,353,413,384,409,3.6
New South Wales,Support periods (number),Remote and very remote,Females,552,651,469,184,313,575,594,520,550,708,748,851,735,835,3.2
New South Wales,Support periods (number),Remote and very remote,All clients,810,905,624,315,477,929,987,864,866,1018,1101,1264,1119,1244,3.4
New South Wales,"Clients (per 10,000 ERP)",Major cities,Males,57.7,56.6,56.9,52.5,68.2,67.1,62.1,62.1,56.4,55.5,53.6,56.6,54.2,51.3,-0.9
New South Wales,"Clients (per 10,000 ERP)",Major cities,Females,68.2,64.7,67.9,64.3,87.4,85.3,80.8,82.3,77,77.9,78.3,80,78.2,78,1
New South Wales,"Clients (per 10,000 ERP)",Major cities,All clients,63,60.7,62.5,58.4,77.9,76.2,71.5,72.3,66.8,66.8,66,68.4,66.3,64.7,0.2
New South Wales,"Clients (per 10,000 ERP)",Inner regional,Males,69.5,82.6,71.2,55.9,112.3,130.3,125.9,124.9,124.1,126.3,112.1,102.9,99.3,101.5,3
New South Wales,"Clients (per 10,000 ERP)",Inner regional,Females,111.8,132.5,119.7,95.6,149.9,176.3,172.1,173.2,176.3,175.9,166.3,152.1,145.9,154.7,2.5
New South Wales,"Clients (per 10,000 ERP)",Inner regional,All clients,90.9,107.8,95.7,76,131.4,153.6,149.3,149.3,150.5,151.3,139.4,127.7,122.8,128.3,2.7
New South Wales,"Clients (per 10,000 ERP)",Outer regional,Males,90.3,48.8,50.4,82,114,140.4,133,145.1,128.8,115.6,114.1,108.7,113.5,115,1.9
New South Wales,"Clients (per 10,000 ERP)",Outer regional,Females,147.5,94.4,95.4,130.3,169.3,186.9,184.2,205.8,179.2,160.3,169.1,154.8,168.5,168,1
New South Wales,"Clients (per 10,000 ERP)",Outer regional,All clients,118.4,71.3,72.6,105.9,141.4,163.5,158.4,175.1,153.7,137.6,141.2,131.4,140.5,141.1,1.4
New South Wales,"Clients (per 10,000 ERP)",Remote and very remote,Males,145.9,113.6,89.4,53.2,76.1,150.7,151.3,147.9,136.9,153.8,167.6,196.1,198.4,183.8,1.8
New South Wales,"Clients (per 10,000 ERP)",Remote and very remote,Females,273.4,242.1,211.2,80.2,127.6,235.5,234.8,224.4,246,300.4,335.4,383,358.8,380.8,2.6
New South Wales,"Clients (per 10,000 ERP)",Remote and very remote,All clients,206.3,174.6,147.6,66.1,100.8,191.6,191.6,184.9,189.9,225.2,249.4,287.1,276.9,280.1,2.4
Victoria,Clients (number),Major cities,Males,22883,26989,29533,29910,30178,30723,31322,32610,33939,30604,30507,31103,31355,31957,2.6
Victoria,Clients (number),Major cities,Females,38116,40013,44272,47368,49025,51907,56292,50624,51387,47568,44911,40887,42504,44171,1.1
Victoria,Clients (number),Major cities,All clients,60999,67002,73804,77278,79203,82630,87614,83234,85326,78172,75418,71990,73859,76128,1.7
Victoria,Clients (number),Inner regional,Males,7586,8059,8320,8106,8341,8584,8706,9077,8702,8066,7874,8013,8904,9182,1.5
Victoria,Clients (number),Inner regional,Females,13295,13538,13907,13302,13537,14229,15583,15530,15465,13944,12825,12597,13558,14222,0.5
Victoria,Clients (number),Inner regional,All clients,20881,21598,22226,21408,21878,22813,24289,24607,24167,22010,20699,20610,22462,23404,0.9
Victoria,Clients (number),Outer regional,Males,1787,1587,1580,1689,1712,1802,1993,1943,2321,2085,2083,2264,2160,2087,1.2
Victoria,Clients (number),Outer regional,Females,2468,2239,2258,2395,2464,2627,2951,3115,3481,3230,3454,3462,3451,3485,2.7
Victoria,Clients (number),Outer regional,All clients,4255,3826,3838,4084,4176,4429,4944,5058,5802,5315,5537,5726,5611,5572,2.1
Victoria,Clients (number),Remote and very remote,Males,10,23,6,7,7,13,12,8,3,6,5,5,13,6,-4
Victoria,Clients (number),Remote and very remote,Females,5,14,18,16,23,15,13,12,8,7,16,12,19,16,9.3
Victoria,Clients (number),Remote and very remote,All clients,15,37,24,23,30,28,25,20,11,13,21,17,32,22,2.9
Victoria,Support periods (number),Major cities,Males,36722,54684,58253,58793,60535,62848,64714,68234,74112,75096,70830,68061,66439,66774,4.7
