state_territory,data_type,remoteness_area,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
Western Australia,"Clients (per 10,000 ERP)",Remote and very remote,Females,315.2,362.1,344.4,392.8,446.7,428.2,412.1,503.5,579.7,578.2,577.4,583.4,599.3,584.2,4.9
Western Australia,"Clients (per 10,000 ERP)",Remote and very remote,All clients,183.1,230.6,209.4,253.9,291.4,284.9,281.5,352.8,429.6,422.1,415.1,406.1,412.3,397,6.1
South Australia,Clients (number),Major cities,Males,5970,6379,6478,6034,6194,6022,5790,5848,5820,5576,5559,6229,5930,5480,-0.7
South Australia,Clients (number),Major cities,Females,8069,8617,8779,8671,8931,9295,8806,8647,8526,8079,7964,8718,8287,7885,-0.2
South Australia,Clients (number),Major cities,All clients,14039,14996,15257,14705,15124,15317,14596,14495,14346,13655,13523,14947,14217,13365,-0.4
South Australia,Clients (number),Inner regional,Males,735,425,441,378,388,376,624,658,598,600,524,315,358,380,-5
South Australia,Clients (number),Inner regional,Females,1280,857,885,748,660,626,938,942,966,925,869,590,540,614,-5.5
South Australia,Clients (number),Inner regional,All clients,2016,1282,1327,1126,1047,1002,1562,1600,1564,1525,1393,905,898,994,-5.3
South Australia,Clients (number),Outer regional,Males,1073,1653,1568,1536,1364,1331,1006,1112,983,978,840,1066,1022,879,-1.5
South Australia,Clients (number),Outer regional,Females,1330,2216,2113,2331,2118,1927,1424,1512,1394,1443,1373,1669,1681,1568,1.3
South Australia,Clients (number),Outer regional,All clients,2403,3869,3681,3866,3482,3258,2430,2624,2377,2421,2213,2735,2703,2447,0.1
South Australia,Clients (number),Remote and very remote,Males,318,408,524,558,471,450,349,302,304,367,285,280,301,262,-1.5
South Australia,Clients (number),Remote and very remote,Females,721,785,866,861,774,743,704,616,627,642,616,555,598,519,-2.5
South Australia,Clients (number),Remote and very remote,All clients,1039,1193,1391,1418,1245,1193,1053,918,931,1009,901,835,899,781,-2.2
South Australia,Support periods (number),Major cities,Males,8723,9607,11099,10714,10724,10757,9854,9896,9699,9545,11343,11993,12212,11359,2.1
South Australia,Support periods (number),Major cities,Females,12910,14022,16223,17032,17422,18061,16937,16618,15691,15232,17174,17918,18020,16929,2.1
South Australia,Support periods (number),Major cities,All clients,21632,23630,27322,27746,28146,28818,26791,26514,25390,24777,28517,29911,30232,28288,2.1
South Australia,Support periods (number),Inner regional,Males,927,521,623,535,546,551,803,909,766,823,700,444,497,508,-4.5
South Australia,Support periods (number),Inner regional,Females,1765,1261,1388,1177,1061,1060,1383,1404,1414,1314,1205,880,761,869,-5.3
South Australia,Support periods (number),Inner regional,All clients,2692,1783,2012,1713,1607,1612,2186,2313,2180,2137,1905,1324,1258,1377,-5
South Australia,Support periods (number),Outer regional,Males,1450,2179,2161,2064,1931,1825,1428,1458,1327,1324,1150,1485,1403,1239,-1.2
South Australia,Support periods (number),Outer regional,Females,1874,3152,3261,3692,3429,2970,2270,2330,2077,2118,2074,2492,2385,2261,1.5
South Australia,Support periods (number),Outer regional,All clients,3325,5331,5422,5756,5359,4795,3698,3788,3404,3442,3224,3977,3788,3500,0.4
South Australia,Support periods (number),Remote and very remote,Males,411,505,697,717,585,573,462,374,391,455,382,377,367,339,-1.5
South Australia,Support periods (number),Remote and very remote,Females,957,1093,1439,1461,1273,1187,1171,960,1002,987,956,885,885,810,-1.3
South Australia,Support periods (number),Remote and very remote,All clients,1368,1598,2136,2178,1857,1760,1633,1334,1393,1442,1338,1262,1252,1149,-1.3
South Australia,"Clients (per 10,000 ERP)",Major cities,Males,99.3,104.9,105.4,97.3,99,95.5,91,90.9,89.3,84.5,83.7,92.7,86.5,79.9,-1.7
South Australia,"Clients (per 10,000 ERP)",Major cities,Females,129.6,137,138.3,135.3,138.1,142.5,133.3,129.3,125.6,117.1,114.8,124.2,115.9,110.2,-1.2
South Australia,"Clients (per 10,000 ERP)",Major cities,All clients,114.7,121.2,122.1,116.6,118.8,119.4,112.5,110.5,107.8,101.2,99.5,108.8,101.5,95.4,-1.4
South Australia,"Clients (per 10,000 ERP)",Inner regional,Males,92.9,53.1,54.5,46.3,47,45.1,74,77,69,68.1,58.5,34.7,38.8,41.2,-6.1
South Australia,"Clients (per 10,000 ERP)",Inner regional,Females,162.8,107.4,109.4,91,79.2,74.3,110.5,109.9,111.6,105.4,97.7,65.5,58.9,67,-6.6
South Australia,"Clients (per 10,000 ERP)",Inner regional,All clients,127.7,80.2,81.9,68.7,63.2,59.8,92.3,93.5,90.3,86.7,78,50,48.9,54.1,-6.4
South Australia,"Clients (per 10,000 ERP)",Outer regional,Males,106.7,163.3,154.2,150.1,133,129.7,97.4,107,93.9,92.7,79.1,100.3,95.7,82.3,-2
South Australia,"Clients (per 10,000 ERP)",Outer regional,Females,135.4,223.9,212.2,232.4,210.1,190.7,141.4,150.5,138.9,143.9,136.8,166,166.8,155.6,1.1
South Australia,"Clients (per 10,000 ERP)",Outer regional,All clients,120.9,193.2,182.9,190.8,171.2,160,119.2,128.4,115.9,117.7,107.2,132.2,130.2,117.9,-0.2
South Australia,"Clients (per 10,000 ERP)",Remote and very remote,Males,102.1,131.2,169.2,180.9,153.5,148.4,114.9,99.1,99.3,119.6,92.3,90.5,96.8,84.2,-1.5
South Australia,"Clients (per 10,000 ERP)",Remote and very remote,Females,257.1,279,307.7,305.1,274.1,263.7,250.3,218.6,222.6,227.7,218.1,195.6,209.2,181.6,-2.6
South Australia,"Clients (per 10,000 ERP)",Remote and very remote,All clients,175.5,201.4,235.1,240.2,211.3,203.9,180,156.5,158.4,171.4,152.4,140.8,150.6,130.8,-2.2
Tasmania,Clients (number),Major cities,Males,48,78,56,68,87,75,54,47,41,35,30,50,36,48,0
Tasmania,Clients (number),Major cities,Females,28,53,47,52,57,47,68,55,38,40,32,35,26,37,2.1
Tasmania,Clients (number),Major cities,All clients,76,131,103,120,144,122,122,102,79,75,62,85,62,85,0.8
Tasmania,Clients (number),Inner regional,Males,2663,2344,2850,3023,3269,3456,2622,2624,2512,2523,2636,2276,2352,2151,-1.6
Tasmania,Clients (number),Inner regional,Females,2853,2570,3119,3499,3485,3635,3081,3163,3191,3215,3496,3057,2875,2641,-0.6
Tasmania,Clients (number),Inner regional,All clients,5516,4914,5970,6522,6754,7092,5703,5787,5703,5738,6132,5333,5227,4792,-1.1
Tasmania,Clients (number),Outer regional,Males,187,197,210,285,418,226,291,320,271,329,334,540,586,569,8.9
Tasmania,Clients (number),Outer regional,Females,288,292,301,373,532,345,387,412,391,423,448,713,796,874,8.9
Tasmania,Clients (number),Outer regional,All clients,475,489,511,658,950,571,678,732,662,752,782,1253,1382,1443,8.9
Tasmania,Clients (number),Remote and very remote,Males,34,22,10,12,7,n.p.,n.p.,n.p.,—,n.p.,n.p.,n.p.,n.p.,n.p.,-23.7
Tasmania,Clients (number),Remote and very remote,Females,47,28,20,15,4,n.p.,n.p.,n.p.,—,n.p.,n.p.,n.p.,n.p.,n.p.,-21.6
Tasmania,Clients (number),Remote and very remote,All clients,81,50,30,28,11,n.p.,n.p.,n.p.,—,n.p.,n.p.,n.p.,n.p.,n.p.,-22.4
Tasmania,Support periods (number),Major cities,Males,87,146,126,149,231,208,136,134,108,96,81,138,91,72,-1.5
Tasmania,Support periods (number),Major cities,Females,46,72,105,119,136,127,147,140,91,100,80,118,76,71,3.4
Tasmania,Support periods (number),Major cities,All clients,133,218,231,268,367,335,283,274,199,196,161,256,167,143,0.6
Tasmania,Support periods (number),Inner regional,Males,3692,3167,4272,5221,6448,6878,5301,5150,4991,4928,5364,4829,4913,3356,-0.7
Tasmania,Support periods (number),Inner regional,Females,4024,3547,4685,6352,7039,7352,6214,6478,6414,6620,7341,6599,6363,4350,0.6
Tasmania,Support periods (number),Inner regional,All clients,7716,6714,8957,11573,13487,14230,11515,11628,11405,11548,12705,11428,11276,7706,0
Tasmania,Support periods (number),Outer regional,Males,215,235,266,421,684,330,475,557,492,600,620,1062,1210,862,11.3
Tasmania,Support periods (number),Outer regional,Females,319,358,408,549,816,535,652,767,775,808,881,1440,1660,1290,11.3
Tasmania,Support periods (number),Outer regional,All clients,534,593,674,970,1500,865,1127,1324,1267,1408,1501,2502,2870,2152,11.3
Tasmania,Support periods (number),Remote and very remote,Males,36,30,11,20,13,n.p.,n.p.,n.p.,—,6,8,5,n.p.,n.p.,-17.4
Tasmania,Support periods (number),Remote and very remote,Females,50,40,23,22,8,n.p.,n.p.,n.p.,—,—,—,—,n.p.,n.p.,-13.1
Tasmania,Support periods (number),Remote and very remote,All clients,86,70,34,42,21,9,20,n.p.,—,6,8,5,n.p.,11,-14.6
Tasmania,"Clients (per 10,000 ERP)",Major cities,Males,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Tasmania,"Clients (per 10,000 ERP)",Major cities,Females,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Tasmania,"Clients (per 10,000 ERP)",Major cities,All clients,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Tasmania,"Clients (per 10,000 ERP)",Inner regional,Males,174.7,153,185.1,195.2,209.7,219.8,163.4,160.1,150.4,148.7,152.8,131.2,135.3,123.7,-2.6
Tasmania,"Clients (per 10,000 ERP)",Inner regional,Females,182.1,163.6,197.6,220.2,217.7,225.3,186.6,187,184.2,182,195.3,169.8,159,146,-1.7
Tasmania,"Clients (per 10,000 ERP)",Inner regional,All clients,178.4,158.4,191.5,207.9,213.7,222.6,175.2,173.8,167.6,165.7,174.4,150.8,147.3,135.1,-2.1
Tasmania,"Clients (per 10,000 ERP)",Outer regional,Males,19.4,20.5,22.1,30.1,44.5,24.1,30.7,33.1,27.5,32.7,32.5,52.1,56.2,54.6,8.3
Tasmania,"Clients (per 10,000 ERP)",Outer regional,Females,30.3,30.9,31.8,39.4,56.1,36.3,40.4,42.5,39.8,42.4,44.1,69.5,77.3,84.9,8.2
Tasmania,"Clients (per 10,000 ERP)",Outer regional,All clients,24.8,25.7,26.9,34.8,50.3,30.3,35.5,37.8,33.6,37.5,38.2,60.8,66.7,69.7,8.3
Tasmania,"Clients (per 10,000 ERP)",Remote and very remote,Males,58.6,39.1,18.2,22.5,12.9,3.7,5.5,1.8,—,3.4,1.7,1.7,1.7,1.7,-23.8
Tasmania,"Clients (per 10,000 ERP)",Remote and very remote,Females,91,55.4,40,31.1,8.1,4,4,2,—,—,—,—,—,3.8,-21.7
Tasmania,"Clients (per 10,000 ERP)",Remote and very remote,All clients,73.9,46.8,28.5,26.6,10.6,3.9,4.8,1.9,—,1.8,0.9,0.9,0.9,2.7,-22.5
Australian Capital Territory,Clients (number),Major cities,Males,2447,2406,2452,2272,2035,1949,1692,1609,1824,1728,1599,1644,1725,1788,-2.4
Australian Capital Territory,Clients (number),Major cities,Females,3107,2901,2837,2673,2568,2596,2281,2155,2255,2236,2177,2247,2231,2345,-2.1
Australian Capital Territory,Clients (number),Major cities,All clients,5554,5307,5289,4946,4603,4544,3973,3764,4079,3964,3776,3891,3956,4133,-2.2
Australian Capital Territory,Clients (number),Inner regional,Males,16,25,13,6,13,16,16,21,15,13,12,15,19,21,1.9
Australian Capital Territory,Clients (number),Inner regional,Females,18,18,20,7,17,11,26,13,34,20,12,30,21,24,2.1
Australian Capital Territory,Clients (number),Inner regional,All clients,35,43,33,13,30,27,42,34,49,33,24,45,40,45,2
Australian Capital Territory,Clients (number),Outer regional,Males,n.p.,9,7,6,6,n.p.,5,n.p.,6,n.p.,6,n.p.,n.p.,6,-2.4
Australian Capital Territory,Clients (number),Outer regional,Females,n.p.,8,7,20,12,n.p.,5,n.p.,9,n.p.,5,n.p.,n.p.,7,4.3
Australian Capital Territory,Clients (number),Outer regional,All clients,12,17,14,26,18,14,10,9,15,13,11,9,9,13,0.4
Australian Capital Territory,Clients (number),Remote and very remote,Males,n.p.,—,n.p.,n.p.,—,—,—,—,—,—,—,n.p.,n.p.,n.p.,0
Australian Capital Territory,Clients (number),Remote and very remote,Females,—,—,—,—,n.p.,—,n.p.,n.p.,—,n.p.,—,—,—,n.p.,—
Australian Capital Territory,Clients (number),Remote and very remote,All clients,n.p.,—,n.p.,n.p.,n.p.,—,n.p.,n.p.,—,n.p.,—,n.p.,n.p.,n.p.,8.8
Australian Capital Territory,Support periods (number),Major cities,Males,3092,3043,3234,3040,2943,2801,2347,2139,2525,2461,2292,2198,2400,2461,-1.7
Australian Capital Territory,Support periods (number),Major cities,Females,4162,4101,3850,3937,3902,3902,3551,3250,3408,3326,3152,3235,3183,3555,-1.2
Australian Capital Territory,Support periods (number),Major cities,All clients,7253,7144,7084,6978,6845,6703,5898,5389,5933,5787,5444,5433,5583,6016,-1.4
Australian Capital Territory,Support periods (number),Inner regional,Males,30,39,27,9,21,30,27,28,26,18,20,22,33,31,0.2
Australian Capital Territory,Support periods (number),Inner regional,Females,39,27,39,9,31,20,36,18,49,37,17,43,32,45,1.1
Australian Capital Territory,Support periods (number),Inner regional,All clients,69,66,66,18,52,51,63,46,75,55,37,65,65,76,0.7
Australian Capital Territory,Support periods (number),Outer regional,Males,13,15,9,9,9,5,9,6,9,6,12,7,8,7,-4.4
Australian Capital Territory,Support periods (number),Outer regional,Females,12,17,13,31,18,15,9,8,14,15,5,7,7,10,-1.7
Australian Capital Territory,Support periods (number),Outer regional,All clients,25,32,22,40,27,20,18,14,23,21,17,14,15,17,-2.9
Australian Capital Territory,Support periods (number),Remote and very remote,Males,n.p.,—,n.p.,n.p.,—,—,—,—,—,—,—,n.p.,n.p.,n.p.,-3.2
Australian Capital Territory,Support periods (number),Remote and very remote,Females,—,—,—,—,n.p.,—,n.p.,n.p.,—,n.p.,—,—,—,n.p.,—
Australian Capital Territory,Support periods (number),Remote and very remote,All clients,n.p.,—,n.p.,n.p.,n.p.,—,n.p.,n.p.,—,n.p.,—,n.p.,n.p.,n.p.,3.9
Australian Capital Territory,"Clients (per 10,000 ERP)",Major cities,Males,133.9,128.8,129,118,103.9,97.7,82.5,76.5,84.9,78.8,71.7,73,75,77.8,-4.1
Australian Capital Territory,"Clients (per 10,000 ERP)",Major cities,Females,168.2,153.4,147.3,136.7,128.9,127.9,109,100.2,102.4,99.4,95.1,97.3,94.6,99.4,-4
Australian Capital Territory,"Clients (per 10,000 ERP)",Major cities,All clients,151.2,141.2,138.2,127.4,116.5,112.9,95.9,88.5,93.8,89.2,83.6,85.3,84.9,88.7,-4
Australian Capital Territory,"Clients (per 10,000 ERP)",Inner regional,Males,532.8,774.8,389.8,172.3,369.3,449.6,450.7,594.9,429.8,373.6,336.1,420.2,529.2,585,0.7
Australian Capital Territory,"Clients (per 10,000 ERP)",Inner regional,Females,730.8,672.8,705.3,239.1,557.4,363.1,849.7,420.7,1072.6,625,365.9,909.1,644.2,736.2,0.1
Australian Capital Territory,"Clients (per 10,000 ERP)",Inner regional,All clients,621.7,728.5,534.8,202.8,456.7,409.8,635.4,513.6,735.7,494,350.4,655,583.9,656.9,0.4
Australian Capital Territory,"Clients (per 10,000 ERP)",Outer regional,Males,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Australian Capital Territory,"Clients (per 10,000 ERP)",Outer regional,Females,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Australian Capital Territory,"Clients (per 10,000 ERP)",Outer regional,All clients,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Australian Capital Territory,"Clients (per 10,000 ERP)",Remote and very remote,Males,. .,—,. .,. .,—,—,—,—,—,—,—,. .,. .,. .,. .
Australian Capital Territory,"Clients (per 10,000 ERP)",Remote and very remote,Females,—,—,—,—,. .,—,. .,. .,—,. .,—,—,—,. .,. .
Australian Capital Territory,"Clients (per 10,000 ERP)",Remote and very remote,All clients,. .,—,. .,. .,. .,—,. .,. .,—,. .,—,. .,. .,. .,. .
Northern Territory,Clients (number),Major cities,Males,43,24,22,38,31,29,22,28,22,16,6,12,20,7,-13
Northern Territory,Clients (number),Major cities,Females,18,24,34,39,32,53,31,38,37,41,31,29,31,25,2.4
Northern Territory,Clients (number),Major cities,All clients,61,48,56,77,63,82,53,66,59,57,37,41,51,32,-4.9
Northern Territory,Clients (number),Inner regional,Males,10,4,6,8,10,6,4,10,7,5,5,8,3,7,-2.8
Northern Territory,Clients (number),Inner regional,Females,6,7,8,7,11,13,10,10,12,7,5,6,12,6,-0.1
Northern Territory,Clients (number),Inner regional,All clients,16,11,14,15,21,19,14,20,19,12,10,14,15,13,-1.7
Northern Territory,Clients (number),Outer regional,Males,1022,1083,1074,1231,1337,1460,1394,1528,1270,1233,1232,1341,1215,1331,2.1
Northern Territory,Clients (number),Outer regional,Females,1406,1463,1526,1695,1984,2217,2072,2097,2069,2080,2184,2374,2231,2415,4.3
Northern Territory,Clients (number),Outer regional,All clients,2428,2545,2599,2926,3321,3677,3466,3625,3339,3313,3416,3715,3446,3746,3.4
Northern Territory,Clients (number),Remote and very remote,Males,1289,1304,1315,1418,1596,1765,1886,1944,2479,2462,2415,2069,2140,2059,3.7
Northern Territory,Clients (number),Remote and very remote,Females,2790,3050,3139,3214,3130,3644,3866,3991,4381,4278,4218,4271,4428,4633,4
Northern Territory,Clients (number),Remote and very remote,All clients,4079,4355,4454,4631,4726,5408,5752,5935,6860,6740,6633,6340,6568,6692,3.9
Northern Territory,Support periods (number),Major cities,Males,56,31,35,59,48,37,30,44,25,21,8,15,27,9,-13.1
Northern Territory,Support periods (number),Major cities,Females,22,31,51,84,50,83,47,63,63,60,45,43,51,41,4.7
Northern Territory,Support periods (number),Major cities,All clients,79,63,86,143,98,120,77,107,88,81,53,58,78,50,-3.4
Northern Territory,Support periods (number),Inner regional,Males,15,5,9,11,19,8,5,12,9,7,6,15,5,10,-3
Northern Territory,Support periods (number),Inner regional,Females,9,9,15,14,14,18,11,12,17,9,7,8,15,12,2.6
Northern Territory,Support periods (number),Inner regional,All clients,23,14,25,25,33,26,16,24,26,16,13,23,20,22,-0.5
Northern Territory,Support periods (number),Outer regional,Males,1101,1218,1236,1441,1678,1838,1802,1946,1576,1513,1512,1640,1529,1665,3.2
Northern Territory,Support periods (number),Outer regional,Females,1589,1816,2017,2226,2757,3050,2945,3015,2911,2968,3241,3332,3329,3490,6.2
Northern Territory,Support periods (number),Outer regional,All clients,2690,3034,3253,3667,4436,4888,4747,4961,4487,4481,4753,4972,4858,5155,5.1
Northern Territory,Support periods (number),Remote and very remote,Males,1448,1673,1634,1749,2115,2442,2619,2488,3271,3487,3471,3010,3010,2877,5.4
Northern Territory,Support periods (number),Remote and very remote,Females,3621,4386,4453,4719,4505,5554,6209,6234,6797,7428,7039,7631,7489,7914,6.2
Northern Territory,Support periods (number),Remote and very remote,All clients,5069,6059,6087,6468,6620,7996,8828,8722,10068,10915,10510,10641,10499,10791,6
Northern Territory,"Clients (per 10,000 ERP)",Major cities,Males,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Northern Territory,"Clients (per 10,000 ERP)",Major cities,Females,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Northern Territory,"Clients (per 10,000 ERP)",Major cities,All clients,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Northern Territory,"Clients (per 10,000 ERP)",Inner regional,Males,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Northern Territory,"Clients (per 10,000 ERP)",Inner regional,Females,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Northern Territory,"Clients (per 10,000 ERP)",Inner regional,All clients,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Northern Territory,"Clients (per 10,000 ERP)",Outer regional,Males,151.3,155.3,147.2,165.5,174.3,188,178.2,197.1,165.9,161.6,161.5,175,157.6,172.6,1
Northern Territory,"Clients (per 10,000 ERP)",Outer regional,Females,228.3,230.7,232.7,253.7,291,319.3,293.7,296.4,292.6,291.5,304.6,327.3,303,328,2.8
Northern Territory,"Clients (per 10,000 ERP)",Outer regional,All clients,188,191.2,187.7,207.3,229.2,250,233,244.5,226.8,224.3,230.9,249.1,228.6,248.5,2.2
Northern Territory,"Clients (per 10,000 ERP)",Remote and very remote,Males,238.9,242.3,243.9,268.8,311.9,352.8,378,391.1,498.3,495.4,484.1,410.7,422,406,4.2
Northern Territory,"Clients (per 10,000 ERP)",Remote and very remote,Females,578.3,622.9,636.3,656,644,750.4,792.8,812.5,884,854.6,838.8,842.6,866.8,907,3.5
Northern Territory,"Clients (per 10,000 ERP)",Remote and very remote,All clients,399.1,423.5,431.3,455.3,473.7,548.7,583,600.6,690.8,675.7,662.1,627.3,645.2,657.4,3.9
