state_territory,data_type,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2023_24
National,Clients (number),Males,16526,17262,16994,15938,16788,16482,15683,16151,15491,14876,13496,13363,13500,14133,-1.7
National,Clients (number),Females,28082,28993,28834,27196,27833,27715,27497,26809,26896,26776,25804,24944,25131,26404,-0.9
National,Clients (number),All clients,44608,46256,45829,43134,44621,44197,43180,42960,42387,41652,39300,38307,38631,40537,-1.2
National,Support periods (number),Males,25910,29429,28780,28067,30471,30134,28892,28848,27720,27382,24645,24777,25044,25385,-0.3
National,Support periods (number),Females,43448,49855,49958,48796,51176,51693,53012,50553,51340,51454,48406,47401,48176,48876,0.9
National,Support periods (number),All clients,69359,79284,78738,76863,81648,81827,81904,79401,79060,78836,73051,72178,73220,74261,0.5
National,"Clients (per 10,000 ERP)",Males,105.3,109.2,106.8,99.5,104.3,101.7,95.9,97.9,93.1,90.5,84.4,81.6,78.1,61.4,-2.5
National,"Clients (per 10,000 ERP)",Females,187.8,192.2,189.7,177.8,181.1,179,176.3,170.9,171.2,173.1,171.7,162.5,155.9,122.6,-1.5
National,"Clients (per 10,000 ERP)",All clients,145.5,149.7,147.3,137.7,141.8,139.5,135.1,133.5,131,130.5,126.7,120.7,115.6,91,-1.9
National,Clients (proportion of male SHS clients),Males,17.1,17.1,16.3,15.3,14.8,14.2,13.9,13.8,13.4,13.4,12.5,12,12,12.3,. .
National,Clients (proportion of female SHS clients),Females,20.1,20.3,19.3,17.9,16.8,16.1,15.7,15.4,15.4,16,15.7,15.4,15,15.2,. .
National,Clients (proportion of all SHS clients),All clients,18.9,18.9,18,16.9,16,15.3,15,14.8,14.6,15,14.4,14,13.8,14,. .
New South Wales,Clients (number),Males,4895,4834,4818,4460,5779,5872,5546,5837,5399,5224,4752,4649,4872,5114,0
New South Wales,Clients (number),Females,7440,7388,7499,6575,8126,8370,7918,8444,8274,8283,8159,8345,8345,8805,1
New South Wales,Clients (number),All clients,12335,12222,12318,11035,13906,14242,13464,14281,13673,13507,12911,12994,13217,13919,0.6
New South Wales,Support periods (number),Males,7009,7180,6571,6405,8956,9442,9084,9209,8476,8295,7228,7174,7751,7995,0.8
New South Wales,Support periods (number),Females,10809,11013,10642,9601,12881,13850,13514,13822,13488,13582,13071,13470,13697,14205,2
New South Wales,Support periods (number),All clients,17818,18193,17213,16006,21837,23291,22598,23031,21964,21877,20299,20644,21448,22200,1.6
New South Wales,"Clients (per 10,000 ERP)",Males,99.6,97.9,97,89,114.6,115.2,107.6,111.8,102.5,100.9,94.7,89.9,88.9,70.5,-0.9
New South Wales,"Clients (per 10,000 ERP)",Females,158.8,156.9,158.2,137.6,168.8,172.3,161.5,171,167.6,171.5,175,175.2,166.5,131.9,0.4
New South Wales,"Clients (per 10,000 ERP)",All clients,128.5,126.7,126.9,112.8,141,143.1,133.9,140.6,134,135,133.4,130.8,126,99.9,-0.2
Victoria,Clients (number),Males,5460,6020,5791,5296,5203,4958,4778,4773,4616,4501,4007,4165,4082,4131,-2.4
Victoria,Clients (number),Females,10527,10957,10544,10125,9994,10142,10509,9003,9086,8691,7877,7069,7219,7228,-3.1
Victoria,Clients (number),All clients,15987,16977,16334,15421,15197,15100,15287,13776,13702,13192,11884,11234,11301,11359,-2.8
Victoria,Support periods (number),Males,9578,12345,11931,11302,11483,10991,10744,10543,10340,10706,9549,10028,9786,9600,0.2
Victoria,Support periods (number),Females,17866,22458,21603,20972,21091,21591,23364,20307,21336,21116,18448,16921,17569,17147,-0.1
Victoria,Support periods (number),All clients,27444,34803,33534,32275,32575,32582,34108,30850,31676,31822,27997,26949,27355,26747,0
Victoria,"Clients (per 10,000 ERP)",Males,139,152.5,145.2,130.5,126.5,118.1,111.9,109.8,104.8,104.4,98.5,100.7,93.1,71,-3.3
Victoria,"Clients (per 10,000 ERP)",Females,281.2,289.6,275.5,260.8,253.4,252.1,257.6,218.5,220,215.8,206.4,181.6,175.2,131.6,-3.9
Victoria,"Clients (per 10,000 ERP)",All clients,208.4,219.6,209,194.2,188.6,183.7,183.1,162.7,160.6,158.2,150.7,139.9,132.8,100.4,-3.7
Queensland,Clients (number),Males,2511,2495,2266,2253,2234,2058,1973,2180,2000,2012,1944,1962,2108,2404,-1.4
Queensland,Clients (number),Females,3265,3340,3337,3258,3197,2919,3008,3160,3153,3541,3659,3767,4082,4411,1.9
Queensland,Clients (number),All clients,5776,5835,5603,5511,5432,4977,4981,5340,5153,5553,5603,5729,6190,6815,0.6
Queensland,Support periods (number),Males,3803,3857,3414,3486,3424,3102,3011,3245,2997,3050,2969,2892,3018,3434,-1.9
Queensland,Support periods (number),Females,4394,4782,4693,4805,4840,4301,4570,4892,4969,5468,5532,5929,6323,6913,3.1
Queensland,Support periods (number),All clients,8198,8639,8107,8290,8264,7402,7581,8137,7966,8518,8501,8821,9341,10347,1.1
Queensland,"Clients (per 10,000 ERP)",Males,79,77.5,69.6,68.6,68,62.5,59.4,65.6,59.8,60.3,58.5,57.5,58.9,49.9,-2.4
Queensland,"Clients (per 10,000 ERP)",Females,106.4,107.2,105.9,102.7,100.7,91.4,93.8,98.2,97.5,110.1,114.9,115.3,119.5,96,1
Queensland,"Clients (per 10,000 ERP)",All clients,92.5,92.1,87.5,85.4,84.1,76.7,76.3,81.6,78.4,84.7,86.1,85.8,88.5,72.4,-0.4
Western Australia,Clients (number),Males,1080,1032,1043,1054,950,1009,1012,970,924,870,769,707,618,719,-4.5
Western Australia,Clients (number),Females,2015,2048,2105,2117,2006,1986,2032,2059,1954,2002,1993,1815,1834,2137,-0.8
Western Australia,Clients (number),All clients,3095,3080,3148,3171,2956,2994,3044,3029,2878,2872,2762,2522,2452,2856,-1.9
