state_territory,data_type,sex,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2017_18_to_2024_25
National,Clients (number),Males,852,941,876,841,869,934,991,1005,2.4
National,Clients (number),Females,443,465,497,488,526,550,629,526,2.5
National,Clients (number),All clients,1295,1406,1373,1329,1395,1484,1620,1531,2.4
National,Support periods (number),Males,2472,2470,2280,2355,2227,2201,2289,2215,-1.6
National,Support periods (number),Females,1533,1471,1502,1567,1713,1657,1873,1500,-0.3
National,Support periods (number),All clients,4005,3941,3782,3922,3940,3858,4162,3715,-1.1
National,"Clients (per 10,000 ERP)",Males,0.9,1,0.9,0.9,0.9,0.9,1,1,1.5
National,"Clients (per 10,000 ERP)",Females,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0
National,"Clients (per 10,000 ERP)",All clients,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0
National,Clients (proportion of male SHS clients),Males,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,. .
National,Clients (proportion of female SHS clients),Females,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,. .
National,Clients (proportion of all SHS clients),All clients,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.5,. .
New South Wales,Clients (number),Males,217,235,190,169,179,188,185,196,-1.4
New South Wales,Clients (number),Females,114,77,103,112,91,105,111,108,-0.8
New South Wales,Clients (number),All clients,331,312,293,281,270,293,296,304,-1.2
New South Wales,Support periods (number),Males,621,461,347,300,275,304,300,317,-9.2
New South Wales,Support periods (number),Females,272,136,178,202,143,205,205,197,-4.5
New South Wales,Support periods (number),All clients,893,597,525,502,418,509,505,514,-7.6
New South Wales,"Clients (per 10,000 ERP)",Males,0.7,0.8,0.6,0.5,0.6,0.6,0.6,0.6,-2.2
New South Wales,"Clients (per 10,000 ERP)",Females,0.4,0.2,0.3,0.3,0.3,0.3,0.3,0.3,-4
New South Wales,"Clients (per 10,000 ERP)",All clients,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0
Victoria,Clients (number),Males,308,363,374,368,384,398,404,356,2.1
Victoria,Clients (number),Females,217,261,265,251,293,288,312,223,0.4
