state_territory,data_type,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
National,Clients (number),Males,6841,7836,8012,8143,9180,9826,10277,10845,10876,10585,11458,12879,13859,14733,6.1
National,Clients (number),Females,7464,8493,9246,9645,11399,12618,13817,13324,13545,13343,13868,14426,15627,16996,6.5
National,Clients (number),All clients,14305,16329,17258,17788,20579,22443,24094,24169,24421,23928,25326,27305,29486,31729,6.3
National,Support periods (number),Males,9937,12676,12673,12752,14548,15923,16936,17624,17964,18010,19084,21134,22615,23371,6.8
National,Support periods (number),Females,8949,11951,12617,13584,16475,18365,20710,20416,21103,20739,21897,22616,24780,26434,8.7
National,Support periods (number),All clients,18886,24627,25290,26336,31023,34288,37646,38040,39067,38749,40981,43750,47395,49805,7.7
National,"Clients (per 10,000 ERP)",Males,25.4,28.3,28.2,27.9,30.6,31.9,32.5,33.4,32.7,30.9,32.8,36.2,38.3,39.9,3.5
National,"Clients (per 10,000 ERP)",Females,25.2,28,29.6,30.1,34.7,37.4,39.8,37.4,37.1,35.4,36.1,36.9,39.2,41.7,4
National,"Clients (per 10,000 ERP)",All clients,25.3,28.1,28.9,29.1,32.8,34.8,36.3,35.5,35,33.3,34.5,36.6,38.8,40.8,3.7
National,Clients (proportion of male SHS clients),Males,7.1,7.7,7.7,7.8,8.1,8.5,9.1,9.3,9.4,9.5,10.6,11.6,12.3,12.8,. .
National,Clients (proportion of female SHS clients),Females,5.3,5.9,6.2,6.4,6.9,7.3,7.9,7.7,7.8,8,8.4,8.9,9.3,9.8,. .
National,Clients (proportion of all SHS clients),All clients,6.1,6.7,6.8,7,7.4,7.8,8.3,8.3,8.4,8.6,9.3,10,10.5,11,. .
New South Wales,Clients (number),Males,1523,1603,1526,1456,2220,2620,2669,2669,2432,2442,2426,2881,2990,3117,5.7
New South Wales,Clients (number),Females,1322,1418,1375,1370,2305,2591,2649,2742,2580,2774,2898,3063,3246,3630,8.1
New South Wales,Clients (number),All clients,2844,3020,2901,2826,4525,5212,5318,5411,5012,5216,5324,5944,6236,6747,6.9
New South Wales,Support periods (number),Males,2179,2370,2079,1899,3282,4053,4272,3707,3101,3102,3047,3831,3868,3895,4.6
New South Wales,Support periods (number),Females,1594,1735,1517,1577,2982,3319,3615,3659,3204,3566,3680,4006,4185,4627,8.5
