state_territory,data_type,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
National,Clients (number),Males,4724,5014,5351,5359,5976,6122,6310,7407,7344,7061,7036,7298,7042,6980,3
National,Clients (number),Females,1319,1384,1402,1505,1824,1990,2028,2170,2108,1823,1964,1832,1819,1832,2.6
National,Clients (number),All clients,6043,6398,6753,6864,7800,8112,8338,9577,9452,8884,9000,9130,8861,8812,2.9
National,Support periods (number),Males,7392,9234,9294,9794,11315,11107,11592,13540,14137,14144,13798,13855,13368,12490,4.1
National,Support periods (number),Females,2309,2471,2538,2708,3534,3974,4273,4533,4782,4539,4274,3727,3660,3325,2.8
National,Support periods (number),All clients,9701,11705,11833,12502,14849,15081,15865,18073,18919,18683,18072,17582,17028,15815,3.8
National,"Clients (per 10,000 ERP)",Males,4.9,5.1,5.4,5.3,5.8,5.9,6,6.9,6.7,6.4,6.3,6.5,6.1,5.9,1.4
National,"Clients (per 10,000 ERP)",Females,1.3,1.4,1.4,1.5,1.7,1.9,1.9,2,1.9,1.6,1.7,1.6,1.5,1.5,1.1
National,"Clients (per 10,000 ERP)",All clients,3.1,3.2,3.4,3.4,3.8,3.9,3.9,4.4,4.3,3.9,4,4,3.8,3.7,1.4
National,Clients (proportion of male SHS clients),Males,4.9,5,5.1,5.2,5.3,5.3,5.6,6.3,6.3,6.4,6.5,6.6,6.2,6.1,. .
National,Clients (proportion of female SHS clients),Females,0.9,1,0.9,1,1.1,1.2,1.2,1.2,1.2,1.1,1.2,1.1,1.1,1.1,. .
National,Clients (proportion of all SHS clients),All clients,2.6,2.6,2.7,2.7,2.8,2.8,2.9,3.3,3.3,3.2,3.3,3.3,3.2,3,. .
New South Wales,Clients (number),Males,1052,992,1037,1001,1409,1492,1503,1565,1515,1554,1261,1322,1303,1387,2.2
New South Wales,Clients (number),Females,357,382,337,382,663,684,705,697,608,498,512,511,522,650,4.7
New South Wales,Clients (number),All clients,1409,1375,1374,1383,2072,2176,2208,2262,2123,2052,1773,1833,1825,2037,2.9
New South Wales,Support periods (number),Males,1521,1579,1365,1435,2158,2535,2655,2572,2426,2414,1863,1996,1971,1973,2
New South Wales,Support periods (number),Females,545,607,476,564,1057,1186,1290,1188,1046,839,814,835,859,994,4.7
New South Wales,Support periods (number),All clients,2066,2186,1842,1999,3215,3721,3945,3760,3472,3253,2677,2831,2830,2967,2.8
New South Wales,"Clients (per 10,000 ERP)",Males,3.4,3.2,3.3,3.1,4.3,4.5,4.4,4.6,4.3,4.4,3.6,3.7,3.6,3.7,0.7
New South Wales,"Clients (per 10,000 ERP)",Females,1.1,1.2,1,1.2,2,2,2,2,1.7,1.4,1.4,1.4,1.4,1.7,3.4
New South Wales,"Clients (per 10,000 ERP)",All clients,2.2,2.2,2.1,2.1,3.1,3.2,3.2,3.3,3,2.9,2.5,2.5,2.5,2.7,1.6
Victoria,Clients (number),Males,1557,1953,2176,2489,2746,2793,2948,3996,3970,3662,3981,4411,4232,4011,7.6
Victoria,Clients (number),Females,409,394,472,540,554,603,721,880,854,743,834,734,609,519,1.9
Victoria,Clients (number),All clients,1966,2347,2649,3029,3300,3396,3669,4876,4824,4405,4815,5145,4841,4530,6.6
