state_territory,data_type,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
National,Clients (number),Males,19641,21365,23864,26386,30053,31181,32158,34168,34439,33919,31476,31981,33251,32957,4.1
National,Clients (number),Females,25091,27152,32294,36519,42067,46105,48846,52331,53899,54291,53724,53353,55016,55840,6.3
National,Clients (number),All clients,44732,48517,56158,62904,72120,77286,81004,86499,88338,88210,85200,85334,88267,88797,5.4
National,Support periods (number),Males,43986,54995,57108,61338,71189,74148,76945,78915,81406,84194,74044,74087,74678,72745,3.9
National,Support periods (number),Females,50818,60793,71419,83087,97686,109126,120110,126154,128395,131496,125771,122110,124553,124069,7.1
National,Support periods (number),All clients,94803,115788,128527,144425,168875,183274,197055,205069,209801,215690,199815,196197,199231,196814,5.8
National,"Clients (per 10,000 ERP)",Males,20.3,21.8,23.9,26.1,29.3,30,30.4,31.7,31.5,30.5,28.2,28.3,28.6,27.7,2.4
National,"Clients (per 10,000 ERP)",Females,25.5,27.1,31.7,35.4,40.1,43.3,45,47.4,48.1,47.7,47.1,46,46.2,45.9,4.6
National,"Clients (per 10,000 ERP)",All clients,22.9,24.5,27.9,30.8,34.8,36.7,37.8,39.7,39.9,39.2,37.8,37.3,37.5,36.9,3.7
National,Clients (proportion of male SHS clients),Males,20.3,21.1,22.8,25.4,26.5,26.9,28.4,29.3,29.7,30.6,29.1,28.8,29.5,28.6,. .
National,Clients (proportion of female SHS clients),Females,18,19,21.6,24.1,25.4,26.7,27.8,30.1,30.9,32.4,32.7,32.8,32.9,32.1,. .
National,Clients (proportion of all SHS clients),All clients,18.9,19.9,22.1,24.6,25.8,26.8,28,29.8,30.4,31.7,31.2,31.2,31.5,30.7,. .
New South Wales,Clients (number),Males,5941,6060,6518,6371,8992,9723,9646,10073,9750,9866,9038,9089,9190,8976,3.2
New South Wales,Clients (number),Females,7761,7904,9126,9246,13226,14503,14423,15220,15625,16681,16658,16373,15971,16349,5.9
New South Wales,Clients (number),All clients,13702,13964,15644,15616,22217,24226,24069,25293,25375,26547,25696,25462,25161,25325,4.8
New South Wales,Support periods (number),Males,11374,13359,11676,10438,16361,18186,19386,18157,16363,16033,13971,14758,14936,14214,1.7
New South Wales,Support periods (number),Females,12627,13013,13897,14245,22385,25080,26533,26726,26579,28000,27309,27650,27203,26951,6
New South Wales,Support periods (number),All clients,24001,26373,25574,24683,38747,43266,45919,44883,42942,44033,41280,42408,42139,41165,4.2
