state_territory,data_type,sex,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2015_16_to_2024_25
South Australia,Clients (number),All clients,141,155,177,155,163,143,135,135,124,167,1.9
South Australia,Support periods (number),Males,108,99,130,134,144,111,160,108,114,132,2.2
South Australia,Support periods (number),Females,123,123,151,113,101,113,89,114,94,135,1
South Australia,Support periods (number),All clients,232,222,281,247,245,224,249,222,208,267,1.6
South Australia,"Clients (per 10,000 ERP)",Males,3.7,3.8,4.5,4.2,4.8,3.7,4.1,3.4,3.5,4.3,1.7
South Australia,"Clients (per 10,000 ERP)",Females,4.1,4.7,5.2,4.2,4,4,3.1,3.8,3.1,4.5,1
South Australia,"Clients (per 10,000 ERP)",All clients,3.9,4.2,4.8,4.2,4.4,3.9,3.6,3.6,3.3,4.4,1.3
Tasmania,Clients (number),Males,100,88,50,35,35,31,46,52,38,34,-11.3
Tasmania,Clients (number),Females,69,83,51,51,44,54,44,44,52,46,-4.4
Tasmania,Clients (number),All clients,170,171,101,86,79,85,90,96,90,80,-8
Tasmania,Support periods (number),Males,214,181,108,63,81,66,130,113,73,54,-14.2
Tasmania,Support periods (number),Females,146,215,95,129,91,111,94,85,97,84,-6
Tasmania,Support periods (number),All clients,360,396,203,192,172,177,224,198,170,138,-10.1
Tasmania,"Clients (per 10,000 ERP)",Males,17.2,15.2,8.6,6,6,5.3,7.8,8.7,6.4,5.8,-11.4
Tasmania,"Clients (per 10,000 ERP)",Females,12.7,15.3,9.4,9.3,8,9.8,7.9,7.9,9.4,8.4,-4.5
Tasmania,"Clients (per 10,000 ERP)",All clients,15.1,15.2,9,7.6,7,7.4,7.8,8.3,7.8,7,-8.2
Australian Capital Territory,Clients (number),Males,68,74,53,60,52,45,44,32,48,75,1.1
Australian Capital Territory,Clients (number),Females,96,91,63,70,45,72,48,47,53,54,-6.2
Australian Capital Territory,Clients (number),All clients,163,164,116,130,97,117,92,79,101,129,-2.6
