state_territory,data_type,indigenous_status,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
National,Support periods (number),Non-Indigenous clients,All clients,235150,271026,280166,293168,325337,341055,348749,349643,352083,343085,330732,322407,333096,333840,2.7
National,Support periods (number),Not stated,Males,13010,15623,15303,12037,12254,11920,12311,12114,9812,8723,8954,9281,5020,4496,-7.8
National,Support periods (number),Not stated,Females,21784,26439,27590,21901,20506,20968,25324,19619,20648,15523,13326,9416,5430,5077,-10.6
National,Support periods (number),Not stated,All clients,34794,42062,42893,33938,32760,32887,37635,31733,30460,24246,22280,18697,10450,9573,-9.5
National,"Clients (per 10,000 ERP)",Indigenous clients,Males,358.1,374,393.6,422.2,488.3,501,498,525.2,537,549.7,530.8,538.6,555.5,578.4,3.8
National,"Clients (per 10,000 ERP)",Indigenous clients,Females,603.1,647.4,678.2,715.6,806.7,841.4,842.8,869.9,889.8,899.3,899.1,917.3,950.8,990.7,3.9
National,"Clients (per 10,000 ERP)",Indigenous clients,All clients,481.5,511.5,536.7,569.7,648.4,672,671.1,697.9,713.7,724.6,715,727.9,752.9,784.2,3.8
National,"Clients (per 10,000 ERP)",Non-Indigenous clients,Males,63.8,65.4,67.1,67.4,72.1,73.2,69.7,70.3,69.5,64.9,63.4,64.2,65.8,66.1,0.3
National,"Clients (per 10,000 ERP)",Non-Indigenous clients,Females,88.2,87.3,89.5,93.7,102.2,104.6,103.1,102.2,101.8,97,95.9,93.5,95.5,97.8,0.8
National,"Clients (per 10,000 ERP)",Non-Indigenous clients,All clients,75.9,76.2,78.2,80.4,87.1,88.8,86.3,86.2,85.6,80.9,79.6,78.7,80.5,81.9,0.6
National,"Clients (per 10,000 ERP)",Rate ratio,Males,5.6,5.7,5.9,6.3,6.8,6.8,7.1,7.5,7.7,8.5,8.4,8.4,8.4,8.8,3.5
National,"Clients (per 10,000 ERP)",Rate ratio,Females,6.8,7.4,7.6,7.6,7.9,8,8.2,8.5,8.7,9.3,9.4,9.8,10,10.1,3.1
National,"Clients (per 10,000 ERP)",Rate ratio,All clients,6.3,6.7,6.9,7.1,7.4,7.6,7.8,8.1,8.3,9,9,9.2,9.3,9.6,3.2
National,Clients (proportion of all SHS clients),Indigenous clients,All clients,21.7,22.5,22.9,23.5,24.5,24.7,25.1,26,26.7,28.1,28.4,28.9,28.8,29.4,. .
National,Clients (proportion of all SHS clients),Non-Indigenous clients,All clients,78.3,77.5,77.1,76.5,75.5,75.3,74.9,74,73.3,71.9,71.6,71.1,71.2,70.6,. .
,,,,,,,,,,,,,,,,,,
New South Wales,Clients (number),Indigenous clients,Males,4451,4289,4493,4715,7546,8180,8112,8549,8294,8944,8541,8782,8777,8889,5.5
New South Wales,Clients (number),Indigenous clients,Females,6689,6857,7125,7211,10988,11850,11802,12371,12181,12594,12832,12908,13289,13845,5.8
New South Wales,Clients (number),Indigenous clients,All clients,11140,11146,11618,11925,18535,20030,19914,20920,20475,21538,21373,21690,22066,22734,5.6
New South Wales,Clients (number),Non-Indigenous clients,Males,15634,15098,14860,14030,20397,22049,20892,20433,19306,19304,18223,18236,18094,17428,0.8
New South Wales,Clients (number),Non-Indigenous clients,Females,19952,18993,19538,18635,26859,28786,27993,28286,27490,27970,27438,26914,26760,26852,2.3
New South Wales,Clients (number),Non-Indigenous clients,All clients,35586,34091,34398,32665,47256,50835,48885,48719,46796,47274,45661,45150,44854,44280,1.7
New South Wales,Clients (number),Not stated,Males,2250,2955,2526,1618,1928,1682,1463,2051,1665,927,752,860,615,411,-12.3
New South Wales,Clients (number),Not stated,Females,3129,3761,3244,2054,1995,1668,1366,1859,1436,849,687,688,356,399,-14.7
New South Wales,Clients (number),Not stated,All clients,5379,6716,5770,3671,3924,3351,2829,3910,3101,1776,1439,1548,971,810,-13.6
New South Wales,Support periods (number),Indigenous clients,Males,5977,6070,5776,6051,10708,11752,12679,12629,12016,12630,11733,12258,12362,12384,5.8
New South Wales,Support periods (number),Indigenous clients,Females,8939,9643,9541,9869,16357,18135,18765,19312,18610,19662,19544,20026,20147,20959,6.8
New South Wales,Support periods (number),Indigenous clients,All clients,14916,15714,15317,15920,27065,29887,31444,31941,30626,32292,31277,32284,32509,33343,6.4
New South Wales,Support periods (number),Non-Indigenous clients,Males,22291,23248,20472,18570,28378,31745,31613,29401,26282,25918,23581,24339,24116,22900,0.2
New South Wales,Support periods (number),Non-Indigenous clients,Females,25981,25203,24411,23823,36081,39240,40439,40070,38078,38602,37068,37143,36938,36120,2.6
New South Wales,Support periods (number),Non-Indigenous clients,All clients,48272,48451,44882,42392,64459,70986,72052,69471,64360,64520,60649,61482,61054,59020,1.6
New South Wales,Support periods (number),Not stated,Males,2272,2996,2486,1662,2467,2267,2095,2526,1901,978,797,921,665,470,-11.4
New South Wales,Support periods (number),Not stated,Females,3092,3835,3120,2083,2147,1811,1685,2038,1533,889,732,720,377,423,-14.2
New South Wales,Support periods (number),Not stated,All clients,5364,6832,5606,3745,4614,4078,3780,4564,3434,1867,1529,1641,1042,893,-12.9
New South Wales,"Clients (per 10,000 ERP)",Indigenous clients,Males,269.8,255.5,260.6,267.5,425.3,466.8,458.6,477.9,455.4,480.1,452.7,468.2,459,461.8,4.2
New South Wales,"Clients (per 10,000 ERP)",Indigenous clients,Females,431.9,434.4,442.9,442.2,668.5,712.9,697.4,719.6,701.6,711.1,716.2,708.6,717.3,744.1,4.3
New South Wales,"Clients (per 10,000 ERP)",Indigenous clients,All clients,351.3,345.2,352.3,355.5,548,590.8,578.3,598.8,578.6,595.6,584.5,588,587.6,602.4,4.2
New South Wales,"Clients (per 10,000 ERP)",Non-Indigenous clients,Males,47,44.9,43.8,41,59.1,63.1,58.9,57.1,53.4,53.3,50.7,49.9,48.4,45.9,-0.2
New South Wales,"Clients (per 10,000 ERP)",Non-Indigenous clients,Females,61.4,57.9,59,55.6,79,83.6,80.2,80.3,77.6,79,78.2,75.8,73.2,72.4,1.3
New South Wales,"Clients (per 10,000 ERP)",Non-Indigenous clients,All clients,54.1,51.3,51.3,48.3,68.9,73.2,69.4,68.6,65.4,66,64.3,62.7,60.6,59,0.7
New South Wales,"Clients (per 10,000 ERP)",Rate ratio,Males,5.7,5.7,5.9,6.5,7.2,7.4,7.8,8.4,8.5,9,8.9,9.4,9.5,10.1,4.4
New South Wales,"Clients (per 10,000 ERP)",Rate ratio,Females,7,7.5,7.5,7.9,8.5,8.5,8.7,9,9,9,9.2,9.3,9.8,10.3,3
New South Wales,"Clients (per 10,000 ERP)",Rate ratio,All clients,6.5,6.7,6.9,7.4,7.9,8.1,8.3,8.7,8.9,9,9.1,9.4,9.7,10.2,3.5
,,,,,,,,,,,,,,,,,,
Victoria,Clients (number),Indigenous clients,Males,2149,2708,2783,3129,3255,3490,3642,3877,4146,4179,4317,4694,5065,5654,7.7
Victoria,Clients (number),Indigenous clients,Females,3332,3950,4274,4629,4822,5413,5786,5960,6252,6581,6851,7166,7760,8378,7.4
Victoria,Clients (number),Indigenous clients,All clients,5481,6658,7057,7758,8077,8903,9428,9837,10398,10760,11168,11860,12825,14032,7.5
Victoria,Clients (number),Non-Indigenous clients,Males,24380,27915,30595,31566,32097,32757,32913,34613,36436,32523,32306,32410,35398,35644,3
Victoria,Clients (number),Non-Indigenous clients,Females,38383,39850,42523,47229,49985,52248,54068,53321,54567,50545,48466,45937,49978,51910,2.3
Victoria,Clients (number),Non-Indigenous clients,All clients,62763,67765,73118,78794,82082,85005,86981,87934,91003,83068,80772,78347,85376,87554,2.6
Victoria,Clients (number),Not stated,Males,5736,6034,6060,5018,4887,4876,5478,5148,4383,4059,3846,4281,1969,1934,-8
Victoria,Clients (number),Not stated,Females,12169,12006,13657,11223,10242,11117,14985,10000,9522,7623,5889,3855,1794,1606,-14.4
Victoria,Clients (number),Not stated,All clients,17905,18039,19717,16241,15128,15993,20463,15148,13905,11682,9735,8136,3763,3540,-11.7
Victoria,Support periods (number),Indigenous clients,Males,3858,5836,6047,6936,7169,7603,8295,9186,10310,11148,10764,11334,11946,13331,10
Victoria,Support periods (number),Indigenous clients,Females,6807,9272,10095,11066,12008,13898,15807,16014,16977,19098,18806,18544,19684,20858,9
Victoria,Support periods (number),Indigenous clients,All clients,10665,15108,16142,18002,19177,21501,24102,25200,27287,30246,29570,29878,31630,34189,9.4
Victoria,Support periods (number),Non-Indigenous clients,Males,41683,57667,61657,62463,64949,66833,67733,71403,77460,77484,72699,68834,70826,70355,4.1
Victoria,Support periods (number),Non-Indigenous clients,Females,61674,78361,83543,91939,99200,106187,116500,115190,120321,112928,105601,95713,100661,102219,4
Victoria,Support periods (number),Non-Indigenous clients,All clients,103357,136028,145200,154402,164149,173019,184233,186593,197781,190412,178300,164547,171487,172574,4
Victoria,Support periods (number),Not stated,Males,5281,7426,7414,6141,5950,5912,6953,6439,5727,5385,5134,5517,2698,2648,-5.2
Victoria,Support periods (number),Not stated,Females,11037,14467,16450,13406,12353,13165,18662,12527,14654,11194,8403,4768,2291,2091,-12
Victoria,Support periods (number),Not stated,All clients,16318,21893,23863,19546,18303,19078,25615,18966,20381,16579,13537,10285,4989,4739,-9.1
Victoria,"Clients (per 10,000 ERP)",Indigenous clients,Males,646.9,819.8,810.6,891.3,912,954.6,966.1,1008.1,1063.2,1058.7,1107.9,1181.6,1241.4,1347,5.8
Victoria,"Clients (per 10,000 ERP)",Indigenous clients,Females,1073,1246.3,1309.8,1383.1,1424.3,1563.6,1632.1,1641.4,1696,1756.2,1823.9,1867.3,1961.1,2068.8,5.2
Victoria,"Clients (per 10,000 ERP)",Indigenous clients,All clients,858.3,1031.7,1058.2,1134.7,1164.9,1256.1,1296.2,1321.4,1376.5,1403.7,1461.8,1520.5,1596.5,1702.1,5.4
Victoria,"Clients (per 10,000 ERP)",Non-Indigenous clients,Males,91.2,102.2,110.3,112,111.7,111.7,109.9,113.6,117.8,104.2,105,103.9,110.4,110.4,1.5
Victoria,"Clients (per 10,000 ERP)",Non-Indigenous clients,Females,143.7,145.8,153,166.7,172.5,176,178.5,173.5,175,160.8,157,146.9,155.1,160.1,0.8
Victoria,"Clients (per 10,000 ERP)",Non-Indigenous clients,All clients,117.4,123.9,131.6,139.3,142.2,144,144.4,143.6,146.4,132.5,130.9,125.3,132.7,135.2,1.1
Victoria,"Clients (per 10,000 ERP)",Rate ratio,Males,7.1,8,7.4,8,8.2,8.5,8.8,8.9,9,10.2,10.6,11.4,11.2,12.2,4.3
Victoria,"Clients (per 10,000 ERP)",Rate ratio,Females,7.5,8.5,8.6,8.3,8.3,8.9,9.1,9.5,9.7,10.9,11.6,12.7,12.6,12.9,4.3
Victoria,"Clients (per 10,000 ERP)",Rate ratio,All clients,7.3,8.3,8,8.1,8.2,8.7,9,9.2,9.4,10.6,11.2,12.1,12,12.6,4.3
,,,,,,,,,,,,,,,,,,
Queensland,Clients (number),Indigenous clients,Males,5033,5189,5423,5882,6022,5721,5639,5783,5677,5996,5957,6225,6508,7489,3.1
Queensland,Clients (number),Indigenous clients,Females,6595,7255,7661,8037,8139,8174,8248,8649,9038,9094,9151,9802,10334,11641,4.5
Queensland,Clients (number),Indigenous clients,All clients,11628,12443,13083,13919,14161,13895,13887,14432,14715,15090,15108,16027,16842,19130,3.9
Queensland,Clients (number),Non-Indigenous clients,Males,12318,12435,12404,12908,11859,11306,11084,11518,11081,10664,10392,11819,12925,14809,1.4
Queensland,Clients (number),Non-Indigenous clients,Females,13553,13446,13779,14646,13798,13279,13632,14366,14890,14055,14264,15923,17649,19551,2.9
Queensland,Clients (number),Non-Indigenous clients,All clients,25872,25882,26183,27554,25657,24585,24716,25884,25971,24719,24656,27742,30574,34360,2.2
Queensland,Clients (number),Not stated,Males,2193,1929,1945,1274,1209,1269,1083,1114,671,577,698,651,570,485,-11
Queensland,Clients (number),Not stated,Females,2795,2747,2539,1466,1516,1689,1432,1657,1737,841,1125,1049,832,725,-9.9
Queensland,Clients (number),Not stated,All clients,4988,4676,4484,2740,2725,2958,2515,2771,2408,1418,1823,1700,1402,1210,-10.3
Queensland,Support periods (number),Indigenous clients,Males,7263,7276,7723,8394,8462,8269,8302,8319,8296,8881,8671,8956,9115,10849,3.1
Queensland,Support periods (number),Indigenous clients,Females,9524,9984,10940,11780,12071,12421,13190,13654,14557,15304,15035,15497,15814,18310,5.2
Queensland,Support periods (number),Indigenous clients,All clients,16787,17260,18663,20174,20534,20690,21492,21973,22853,24185,23706,24453,24929,29159,4.3
Queensland,Support periods (number),Non-Indigenous clients,Males,17240,17691,17104,17564,16170,15587,15292,15816,15029,15018,14157,15876,17164,20117,1.2
Queensland,Support periods (number),Non-Indigenous clients,Females,16737,17195,17796,18898,18068,17985,18751,19826,19796,19220,19322,21847,23899,26966,3.7
Queensland,Support periods (number),Non-Indigenous clients,All clients,33977,34886,34900,36461,34239,33572,34043,35642,34825,34238,33479,37723,41063,47083,2.5
Queensland,Support periods (number),Not stated,Males,2286,1901,2020,1352,1286,1405,1238,1235,783,657,779,721,619,545,-10.4
Queensland,Support periods (number),Not stated,Females,2862,2808,2610,1581,1657,1828,1651,1825,1907,963,1276,1152,925,828,-9.1
Queensland,Support periods (number),Not stated,All clients,5148,4708,4630,2932,2943,3233,2889,3060,2690,1620,2055,1873,1544,1373,-9.7
Queensland,"Clients (per 10,000 ERP)",Indigenous clients,Males,403.8,403.5,414.4,448,455,423.4,416.9,417.8,406.4,432.5,420.5,430.4,444.4,500.1,1.7
Queensland,"Clients (per 10,000 ERP)",Indigenous clients,Females,539.2,578.1,599.9,627.9,629.2,620.9,629.5,644.1,661.3,661.6,657.3,689.1,718.7,786.8,3
Queensland,"Clients (per 10,000 ERP)",Indigenous clients,All clients,471.4,490.9,507.3,538.5,542.5,522.5,523.9,531.8,534.7,547.5,539.5,560.5,582.4,644.2,2.4
Queensland,"Clients (per 10,000 ERP)",Non-Indigenous clients,Males,59.2,58.7,57.8,59.7,54.5,51.7,50,51.3,48.9,46.6,45,50.2,53.2,60.1,0.1
