state_territory,data_type,indigenous_status,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
Tasmania,Support periods (number),Indigenous clients,Females,738,682,867,1150,1254,1323,1042,1120,1156,1222,1434,1569,1661,1212,3.9
Tasmania,Support periods (number),Indigenous clients,All clients,1325,1152,1531,1942,2225,2365,1856,1937,2020,2051,2389,2566,2836,2004,3.2
Tasmania,Support periods (number),Non-Indigenous clients,Males,3099,2827,3667,4733,6028,6041,4843,4769,4645,4711,5046,4986,4960,3461,0.9
Tasmania,Support periods (number),Non-Indigenous clients,Females,3297,3048,3979,5589,6345,6346,5706,6011,6022,6178,6788,6482,6320,4456,2.3
Tasmania,Support periods (number),Non-Indigenous clients,All clients,6396,5876,7646,10322,12373,12387,10549,10780,10667,10889,11834,11468,11280,7917,1.7
Tasmania,Support periods (number),Not stated,Males,344,280,344,286,377,339,271,256,82,90,72,51,81,40,-15.2
Tasmania,Support periods (number),Not stated,Females,404,287,375,303,400,348,269,256,102,128,80,106,118,51,-14.7
Tasmania,Support periods (number),Not stated,All clients,748,567,720,589,777,687,540,512,184,218,152,157,199,91,-15
Tasmania,"Clients (per 10,000 ERP)",Indigenous clients,Males,272.7,239.8,290.6,295.1,284,309.5,276,266.8,273,275.6,284.6,273,309.9,285.4,0.3
Tasmania,"Clients (per 10,000 ERP)",Indigenous clients,Females,280.3,273.9,299.7,359.1,334.4,345.9,299.6,323,333.1,337.5,387.1,390.2,390.1,388.9,2.5
Tasmania,"Clients (per 10,000 ERP)",Indigenous clients,All clients,276.6,257.8,295.1,327.9,308.7,327.4,286.7,295.6,303.2,305.5,335.8,331.5,348.5,336.5,1.5
Tasmania,"Clients (per 10,000 ERP)",Non-Indigenous clients,Males,100.3,93.6,110,124.6,142.2,141.9,108.7,108,103,103.7,103.4,97.5,97.5,88.8,-0.9
Tasmania,"Clients (per 10,000 ERP)",Non-Indigenous clients,Females,111.6,105.9,126.2,149.9,155,155.3,134.1,135.6,134.2,133.1,140.1,130.7,122.8,115.8,0.3
Tasmania,"Clients (per 10,000 ERP)",Non-Indigenous clients,All clients,105.6,99.4,117.6,136.8,148.2,148.2,121,121.5,118.2,118.1,121.3,113.6,109.7,101.9,-0.3
Tasmania,"Clients (per 10,000 ERP)",Rate ratio,Males,2.7,2.6,2.6,2.4,2,2.2,2.5,2.5,2.6,2.7,2.8,2.8,3.2,3.2,1.3
Tasmania,"Clients (per 10,000 ERP)",Rate ratio,Females,2.5,2.6,2.4,2.4,2.2,2.2,2.2,2.4,2.5,2.5,2.8,3,3.2,3.4,2.3
Tasmania,"Clients (per 10,000 ERP)",Rate ratio,All clients,2.6,2.6,2.5,2.4,2.1,2.2,2.4,2.4,2.6,2.6,2.8,2.9,3.2,3.3,1.8
,,,,,,,,,,,,,,,,,,
Australian Capital Territory,Clients (number),Indigenous clients,Males,322,314,359,344,299,290,273,266,294,290,321,291,337,325,0.1
Australian Capital Territory,Clients (number),Indigenous clients,Females,443,458,432,455,446,418,398,344,330,392,415,434,472,473,0.5
Australian Capital Territory,Clients (number),Indigenous clients,All clients,765,773,790,799,745,708,671,610,624,682,736,725,809,798,0.3
Australian Capital Territory,Clients (number),Non-Indigenous clients,Males,1807,1848,1851,1811,1641,1558,1338,1241,1441,1377,1221,1277,1411,1482,-1.5
Australian Capital Territory,Clients (number),Non-Indigenous clients,Females,2377,2232,2169,2127,2074,2079,1826,1744,1910,1849,1761,1828,1779,1893,-1.7
Australian Capital Territory,Clients (number),Non-Indigenous clients,All clients,4184,4080,4019,3939,3715,3637,3164,2985,3351,3226,2982,3105,3190,3375,-1.6
Australian Capital Territory,Clients (number),Not stated,Males,343,278,264,131,114,120,102,127,110,78,75,97,n.p.,9,-24.4
Australian Capital Territory,Clients (number),Not stated,Females,310,237,264,118,78,120,89,86,58,26,18,19,n.p.,12,-22.1
Australian Capital Territory,Clients (number),Not stated,All clients,653,515,528,249,192,241,191,213,168,104,93,116,7,21,-23.2
Australian Capital Territory,Support periods (number),Indigenous clients,Males,447,465,510,500,516,449,380,357,435,419,486,390,458,461,0.2
Australian Capital Territory,Support periods (number),Indigenous clients,Females,657,736,668,712,716,711,678,555,564,637,650,678,709,730,0.8
Australian Capital Territory,Support periods (number),Indigenous clients,All clients,1105,1201,1178,1212,1232,1159,1058,912,999,1056,1136,1068,1167,1191,0.6
Australian Capital Territory,Support periods (number),Non-Indigenous clients,Males,2361,2404,2512,2430,2345,2263,1877,1682,2012,1987,1763,1741,1982,2031,-1.2
Australian Capital Territory,Support periods (number),Non-Indigenous clients,Females,3252,3177,3006,3148,3160,3085,2811,2615,2847,2719,2506,2588,2508,2870,-1
Australian Capital Territory,Support periods (number),Non-Indigenous clients,All clients,5613,5581,5518,5578,5505,5348,4688,4297,4859,4706,4269,4329,4490,4901,-1
Australian Capital Territory,Support periods (number),Not stated,Males,329,229,251,132,112,125,126,134,113,79,75,97,n.p.,9,-24.2
Australian Capital Territory,Support periods (number),Not stated,Females,304,231,228,116,76,142,108,108,60,26,18,19,n.p.,13,-21.5
Australian Capital Territory,Support periods (number),Not stated,All clients,633,460,479,248,188,266,234,242,173,105,93,116,7,22,-22.8
Australian Capital Territory,"Clients (per 10,000 ERP)",Indigenous clients,Males,873,836.6,880.2,816.8,664.6,649.8,560.8,540.2,612.7,596.2,644.7,564.8,649.2,578.1,-3.1
Australian Capital Territory,"Clients (per 10,000 ERP)",Indigenous clients,Females,1040.9,1020.1,916.1,922.8,907.6,847.7,812.7,677.8,640.2,716.3,766.4,796.3,875.4,848.5,-1.6
Australian Capital Territory,"Clients (per 10,000 ERP)",Indigenous clients,All clients,961.5,927.4,892.3,872.9,789.8,746.2,690.1,606,626.5,657.4,704,677.7,755.5,707.3,-2.3
Australian Capital Territory,"Clients (per 10,000 ERP)",Non-Indigenous clients,Males,97.3,98.1,96.4,94.1,84.9,79.4,66.3,59.9,68.9,64.7,56.3,58.6,63.4,66,-2.9
Australian Capital Territory,"Clients (per 10,000 ERP)",Non-Indigenous clients,Females,128.7,118.9,113.3,110.2,106.5,105.4,89.5,83,89.4,85.2,79.3,82,78.4,82.9,-3.3
Australian Capital Territory,"Clients (per 10,000 ERP)",Non-Indigenous clients,All clients,112.6,108.1,104.6,101.9,95.5,92.3,77.9,71.5,79.1,74.8,67.8,70.2,70.7,74.4,-3.1
Australian Capital Territory,"Clients (per 10,000 ERP)",Rate ratio,Males,9,8.5,9.1,8.7,7.8,8.2,8.5,9,8.9,9.2,11.4,9.6,10.2,8.8,-0.2
Australian Capital Territory,"Clients (per 10,000 ERP)",Rate ratio,Females,8.1,8.6,8.1,8.4,8.5,8,9.1,8.2,7.2,8.4,9.7,9.7,11.2,10.2,1.8
Australian Capital Territory,"Clients (per 10,000 ERP)",Rate ratio,All clients,8.5,8.6,8.5,8.6,8.3,8.1,8.9,8.5,7.9,8.8,10.4,9.7,10.7,9.5,0.8
,,,,,,,,,,,,,,,,,,
Northern Territory,Clients (number),Indigenous clients,Males,1269,1366,1457,1644,1953,2303,2435,2712,3084,2822,2530,2270,2791,2846,6.4
Northern Territory,Clients (number),Indigenous clients,Females,3149,3435,3693,3932,4163,4865,5050,5272,5657,5382,5227,5518,5869,6284,5.5
Northern Territory,Clients (number),Indigenous clients,All clients,4418,4801,5150,5577,6116,7168,7485,7984,8741,8204,7757,7788,8660,9130,5.7
Northern Territory,Clients (number),Non-Indigenous clients,Males,869,820,742,825,845,813,741,702,635,545,508,492,497,483,-4.4
Northern Territory,Clients (number),Non-Indigenous clients,Females,687,693,678,747,770,863,775,725,748,718,715,641,680,646,-0.5
Northern Territory,Clients (number),Non-Indigenous clients,All clients,1556,1513,1420,1572,1615,1676,1516,1427,1383,1263,1223,1133,1177,1129,-2.4
Northern Territory,Clients (number),Not stated,Males,226,228,218,225,176,143,130,96,59,349,620,668,90,75,-8.1
Northern Territory,Clients (number),Not stated,Females,384,417,336,275,224,199,154,139,94,306,496,521,153,149,-7
Northern Territory,Clients (number),Not stated,All clients,610,645,553,501,401,342,284,235,153,655,1116,1189,243,224,-7.4
Northern Territory,Support periods (number),Indigenous clients,Males,1425,1726,1807,2016,2547,3131,3359,3487,4023,3963,3464,3232,3822,3863,8
Northern Territory,Support periods (number),Indigenous clients,Females,4118,4879,5332,5815,6062,7431,7971,8097,8689,9149,8637,9495,9653,10428,7.4
Northern Territory,Support periods (number),Indigenous clients,All clients,5543,6605,7139,7831,8609,10562,11330,11584,12712,13112,12101,12727,13475,14291,7.6
Northern Territory,Support periods (number),Non-Indigenous clients,Males,1017,967,902,1014,1142,1049,964,892,797,682,631,614,629,608,-3.9
Northern Territory,Support periods (number),Non-Indigenous clients,Females,805,906,875,941,1044,1072,1074,1078,1004,983,1010,868,1039,857,0.5
Northern Territory,Support periods (number),Non-Indigenous clients,All clients,1822,1874,1777,1955,2185,2121,2038,1970,1801,1665,1641,1482,1668,1465,-1.7
Northern Territory,Support periods (number),Not stated,Males,179,235,206,230,172,145,133,111,61,383,902,834,120,90,-5.1
Northern Territory,Support periods (number),Not stated,Females,317,457,329,287,220,202,167,149,95,333,685,651,192,172,-4.6
Northern Territory,Support periods (number),Not stated,All clients,496,691,535,517,392,347,300,260,156,716,1587,1485,312,262,-4.8
Northern Territory,"Clients (per 10,000 ERP)",Indigenous clients,Males,332.6,361.6,385.6,414.8,474.9,575,598.1,674.6,711.6,669,591.4,574.5,713,715.9,6.1
Northern Territory,"Clients (per 10,000 ERP)",Indigenous clients,Females,833.6,910.6,970.9,1022.9,1073.9,1240.9,1276.3,1314.4,1358.3,1311.7,1261.7,1352.2,1441,1532.3,4.8
Northern Territory,"Clients (per 10,000 ERP)",Indigenous clients,All clients,595.2,647.5,688.9,729.8,785.8,914.9,945.1,999.9,1039,994.7,929.2,964.6,1078.1,1125.3,5
Northern Territory,"Clients (per 10,000 ERP)",Non-Indigenous clients,Males,97.4,92.7,82.9,90.2,95,91,82.4,80.4,73.7,65.5,61.3,58,57.8,53.8,-4.5
Northern Territory,"Clients (per 10,000 ERP)",Non-Indigenous clients,Females,92.4,90.9,85.7,95.2,99,109.6,95.9,91,92.1,89,87.7,77.8,79.5,74.8,-1.6
Northern Territory,"Clients (per 10,000 ERP)",Non-Indigenous clients,All clients,94.7,91.5,83.9,92.4,96.8,99.6,88.9,85.7,82.6,77.1,74.3,68,68.8,64.2,-2.9
Northern Territory,"Clients (per 10,000 ERP)",Rate ratio,Males,3.4,3.9,4.7,4.6,5,6.3,7.3,8.4,9.7,10.2,9.7,9.9,12.3,13.3,11
Northern Territory,"Clients (per 10,000 ERP)",Rate ratio,Females,9,10,11.3,10.7,10.9,11.3,13.3,14.4,14.8,14.7,14.4,17.4,18.1,20.5,6.5
Northern Territory,"Clients (per 10,000 ERP)",Rate ratio,All clients,6.3,7.1,8.2,7.9,8.1,9.2,10.6,11.7,12.6,12.9,12.5,14.2,15.7,17.5,8.2
