section,category,subcategory,unit,financial_year,state,measure,value
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,NSW,$m,6582.9834
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,NSW,%,31.057668134953122
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,Vic,$m,4412.0405
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,Vic,%,20.815439037408577
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,Qld,$m,5365.4697
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,Qld,%,25.313595250862473
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,SA,$m,1110.6956
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,SA,%,5.240118840912259
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,WA,$m,2180.0544
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,WA,%,10.285215981456728
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,Tas,$m,654.6631
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,Tas,%,3.0886162192053574
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,NT,$m,410.6393
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,NT,%,1.937343348392684
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,ACT,$m,479.4542
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,ACT,%,2.2620031868088017
Tourism characteristic industries,Tourism output,Accommodation,,2023-24,Total(a),$m,21196.0002
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,NSW,$m,5614.7354
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,NSW,%,32.59265042601588
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,Vic,$m,4296.6719
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,Vic,%,24.94150040124517
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,Qld,$m,3356.0642
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,Qld,%,19.4814215604651
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,SA,$m,1408.2534
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,SA,%,8.174688121090856
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,WA,$m,1695.7622
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,WA,%,9.843631204820735
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,Tas,$m,438.6803
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,Tas,%,2.5464697172870827
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,NT,$m,134.8713
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,NT,%,0.7829065521773859
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,ACT,$m,281.9598
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,ACT,%,1.636732016897778
Tourism characteristic industries,Tourism output,Ownership of dwellings,,2023-24,Total(a),$m,17226.9985
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,NSW,$m,6024.4966
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,NSW,%,30.894854042104065
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,Vic,$m,4649.7236
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,Vic,%,23.844736165695018
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,Qld,$m,4578.3979
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,Qld,%,23.47896334893371
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,SA,$m,1163.2081
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,SA,%,5.965169682408517
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,WA,$m,1849.1199
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,WA,%,9.482666056588041
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,Tas,$m,596.335
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,Tas,%,3.058128173762788
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,NT,$m,285.6505
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,NT,%,1.464874343950007
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,ACT,$m,353.0686
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,ACT,%,1.810608186557865
Tourism characteristic industries,Tourism output,"Cafes, restaurants and takeaway food services",,2023-24,Total(a),$m,19500.0002
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,NSW,$m,2223.4688
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,NSW,%,30.79170411242931
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,Vic,$m,1715.9133
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,Vic,%,23.762822584325065
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,Qld,$m,1695.6307
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,Qld,%,23.481939030739444
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,SA,$m,427.6371
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,SA,%,5.922131693818841
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,WA,$m,697.1702
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,WA,%,9.654760397089074
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,Tas,$m,219.6504
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,Tas,%,3.041828212285571
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,NT,$m,107.218
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,NT,%,1.4848083011223032
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,ACT,$m,134.3111
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,ACT,%,1.8600070530402337
Tourism characteristic industries,Tourism output,"Clubs, pubs, taverns & bars",,2023-24,Total(a),$m,7220.9995
Tourism characteristic industries,Tourism output,Rail transport,,2023-24,NSW,$m,324.0107
Tourism characteristic industries,Tourism output,Rail transport,,2023-24,NSW,%,25.735562012356
Tourism characteristic industries,Tourism output,Rail transport,,2023-24,Vic,$m,250.5519
Tourism characteristic industries,Tourism output,Rail transport,,2023-24,Vic,%,19.900867347169765
Tourism characteristic industries,Tourism output,Rail transport,,2023-24,Qld,$m,324.8344
