section,category,subcategory,unit,financial_year,state,measure,value
SHARE OF STATE TOTAL,Gross value added,"Agriculture, forestry and fishing",%,2023-24,NSW,,1.8
SHARE OF STATE TOTAL,Gross value added,"Agriculture, forestry and fishing",%,2023-24,Vic,,2.4
SHARE OF STATE TOTAL,Gross value added,"Agriculture, forestry and fishing",%,2023-24,Qld,,2.8
SHARE OF STATE TOTAL,Gross value added,"Agriculture, forestry and fishing",%,2023-24,SA,,4.9
SHARE OF STATE TOTAL,Gross value added,"Agriculture, forestry and fishing",%,2023-24,WA,,1.7
SHARE OF STATE TOTAL,Gross value added,"Agriculture, forestry and fishing",%,2023-24,Tas,,8.1
SHARE OF STATE TOTAL,Gross value added,"Agriculture, forestry and fishing",%,2023-24,NT,,3.6
SHARE OF STATE TOTAL,Gross value added,"Agriculture, forestry and fishing",%,2023-24,ACT,,0
SHARE OF STATE TOTAL,Gross value added,"Agriculture, forestry and fishing",%,2023-24,Total,,2.4
SHARE OF STATE TOTAL,Gross value added,Mining,%,2023-24,NSW,,3.3
SHARE OF STATE TOTAL,Gross value added,Mining,%,2023-24,Vic,,0.9
SHARE OF STATE TOTAL,Gross value added,Mining,%,2023-24,Qld,,12.9
SHARE OF STATE TOTAL,Gross value added,Mining,%,2023-24,SA,,4
SHARE OF STATE TOTAL,Gross value added,Mining,%,2023-24,WA,,45.1
SHARE OF STATE TOTAL,Gross value added,Mining,%,2023-24,Tas,,3.8
SHARE OF STATE TOTAL,Gross value added,Mining,%,2023-24,NT,,25.8
SHARE OF STATE TOTAL,Gross value added,Mining,%,2023-24,ACT,,0.1
SHARE OF STATE TOTAL,Gross value added,Mining,%,2023-24,Total,,12.2
SHARE OF STATE TOTAL,Gross value added,Manufacturing,%,2023-24,NSW,,6
SHARE OF STATE TOTAL,Gross value added,Manufacturing,%,2023-24,Vic,,7
SHARE OF STATE TOTAL,Gross value added,Manufacturing,%,2023-24,Qld,,6.1
SHARE OF STATE TOTAL,Gross value added,Manufacturing,%,2023-24,SA,,6.1
SHARE OF STATE TOTAL,Gross value added,Manufacturing,%,2023-24,WA,,4.6
SHARE OF STATE TOTAL,Gross value added,Manufacturing,%,2023-24,Tas,,5.3
SHARE OF STATE TOTAL,Gross value added,Manufacturing,%,2023-24,NT,,2.5
SHARE OF STATE TOTAL,Gross value added,Manufacturing,%,2023-24,ACT,,1.4
SHARE OF STATE TOTAL,Gross value added,Manufacturing,%,2023-24,Total,,5.9
SHARE OF STATE TOTAL,Gross value added,Construction,%,2023-24,NSW,,7.6
SHARE OF STATE TOTAL,Gross value added,Construction,%,2023-24,Vic,,8.3
SHARE OF STATE TOTAL,Gross value added,Construction,%,2023-24,Qld,,7.9
SHARE OF STATE TOTAL,Gross value added,Construction,%,2023-24,SA,,8.2
SHARE OF STATE TOTAL,Gross value added,Construction,%,2023-24,WA,,5.8
SHARE OF STATE TOTAL,Gross value added,Construction,%,2023-24,Tas,,8
SHARE OF STATE TOTAL,Gross value added,Construction,%,2023-24,NT,,6.7
SHARE OF STATE TOTAL,Gross value added,Construction,%,2023-24,ACT,,6.6
SHARE OF STATE TOTAL,Gross value added,Construction,%,2023-24,Total,,7.5
SHARE OF STATE TOTAL,Gross value added,Financial and insurance services,%,2023-24,NSW,,10.3
SHARE OF STATE TOTAL,Gross value added,Financial and insurance services,%,2023-24,Vic,,9.6
SHARE OF STATE TOTAL,Gross value added,Financial and insurance services,%,2023-24,Qld,,5.3
SHARE OF STATE TOTAL,Gross value added,Financial and insurance services,%,2023-24,SA,,7.3
