section,category,subcategory,unit,financial_year,state,measure,value
Tourism characteristic industries,Tourism GVA,"Clubs, pubs, taverns and bars",,2023-24,Qld,$m,743.7386
Tourism characteristic industries,Tourism GVA,"Clubs, pubs, taverns and bars",,2023-24,Qld,%,23.454385889171053
Tourism characteristic industries,Tourism GVA,"Clubs, pubs, taverns and bars",,2023-24,SA,$m,187.9671
Tourism characteristic industries,Tourism GVA,"Clubs, pubs, taverns and bars",,2023-24,SA,%,5.927691393008786
Tourism characteristic industries,Tourism GVA,"Clubs, pubs, taverns and bars",,2023-24,WA,$m,305.2824
Tourism characteristic industries,Tourism GVA,"Clubs, pubs, taverns and bars",,2023-24,WA,%,9.627322307558424
Tourism characteristic industries,Tourism GVA,"Clubs, pubs, taverns and bars",,2023-24,Tas,$m,96.2629
Tourism characteristic industries,Tourism GVA,"Clubs, pubs, taverns and bars",,2023-24,Tas,%,3.035726804297483
Tourism characteristic industries,Tourism GVA,"Clubs, pubs, taverns and bars",,2023-24,NT,$m,46.6685
Tourism characteristic industries,Tourism GVA,"Clubs, pubs, taverns and bars",,2023-24,NT,%,1.4717281150511474
Tourism characteristic industries,Tourism GVA,"Clubs, pubs, taverns and bars",,2023-24,ACT,$m,58.8317
Tourism characteristic industries,Tourism GVA,"Clubs, pubs, taverns and bars",,2023-24,ACT,%,1.8553042618951667
Tourism characteristic industries,Tourism GVA,"Clubs, pubs, taverns and bars",,2023-24,Total(a),$m,3171.0001
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,NSW,$m,148.2651
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,NSW,%,25.695857885615247
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,Vic,$m,114.6947
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,Vic,%,19.877764298093588
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,Qld,$m,149.0059
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,Qld,%,25.824246100519932
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,SA,$m,35.4036
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,SA,%,6.13580589254766
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,WA,$m,71.5905
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,WA,%,12.40736568457539
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,Tas,$m,22.2217
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,Tas,%,3.851247833622184
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,NT,$m,20.3179
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,NT,%,3.521299826689775
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,ACT,$m,15.5007
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,ACT,%,2.686429809358752
Tourism characteristic industries,Tourism GVA,Rail transport,,2023-24,Total(a),$m,577
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,NSW,$m,202.7311
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,NSW,%,26.294565499351492
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,Vic,$m,173.7377
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,Vic,%,22.53407263294423
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,Qld,$m,199.9191
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,Qld,%,25.929844357976652
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,SA,$m,43.3503
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,SA,%,5.6226070038910505
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,WA,$m,78.366
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,WA,%,10.164202334630351
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,Tas,$m,34.3825
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,Tas,%,4.4594682230869
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,NT,$m,19.9233
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,NT,%,2.5840856031128405
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,ACT,$m,18.5901
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,ACT,%,2.4111673151750974
Tourism characteristic industries,Tourism GVA,Taxi transport,,2023-24,Total(a),$m,771
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,NSW,$m,277.3292
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,NSW,%,29.31598618562222
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,Vic,$m,220.985
